pair_id,environment,condition,checkpoint,observer,p_a_given_a,p_a_given_b,p_b_given_a,p_b_given_b,direction_a,direction_b,crossover,correct,resolved,survival
fresh-3-5c6613e295e01df1,launch2,matched_random,64,terminal,0.5,0.328125,0.265625,0.328125,0.171875,0.0625,0.0625,0.4140625,0.7109375,1.0
fresh-3-5c6613e295e01df1,launch2,matched_random,8,primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fresh-3-5c6613e295e01df1,launch2,matched_random,8,terminal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fresh-3-5c6613e295e01df1,launch2,midpoint,16,primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fresh-3-5c6613e295e01df1,launch2,midpoint,16,terminal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fresh-3-5c6613e295e01df1,launch2,midpoint,32,primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fresh-3-5c6613e295e01df1,launch2,midpoint,32,terminal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fresh-3-5c6613e295e01df1,launch2,midpoint,64,primary,0.359375,0.359375,0.375,0.375,0.0,0.0,0.0,0.3671875,0.734375,1.0
fresh-3-5c6613e295e01df1,launch2,midpoint,64,terminal,0.3125,0.3125,0.375,0.375,0.0,0.0,0.0,0.34375,0.6875,1.0
fresh-3-5c6613e295e01df1,launch2,midpoint,8,primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fresh-3-5c6613e295e01df1,launch2,midpoint,8,terminal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fresh-3-5c6613e295e01df1,launch2,opposite_history,16,primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fresh-3-5c6613e295e01df1,launch2,opposite_history,16,terminal,0.0,0.140625,0.0,0.0,-0.140625,0.0,-0.140625,0.0,0.0703125,1.0
fresh-3-5c6613e295e01df1,launch2,opposite_history,32,primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fresh-3-5c6613e295e01df1,launch2,opposite_history,32,terminal,0.0,0.078125,0.0,0.0,-0.078125,0.0,-0.078125,0.0,0.0390625,1.0
fresh-3-5c6613e295e01df1,launch2,opposite_history,64,primary,0.046875,0.796875,0.703125,0.078125,-0.75,-0.625,-0.75,0.0625,0.8125,1.0
fresh-3-5c6613e295e01df1,launch2,opposite_history,64,terminal,0.046875,0.75,0.734375,0.125,-0.703125,-0.609375,-0.703125,0.0859375,0.828125,1.0
fresh-3-5c6613e295e01df1,launch2,opposite_history,8,primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fresh-3-5c6613e295e01df1,launch2,opposite_history,8,terminal,0.0,0.1875,0.0,0.0,-0.1875,0.0,-0.1875,0.0,0.09375,1.0
fresh-3-5c6613e295e01df1,launch2,read_disabled,16,primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
