definition_index,definition_key,inheritance_threshold_strict,horizon_fissions,renewal_run_length,registered_baseline,candidate,half,left_arm,right_arm,contrast,estimate,ci95_lower,ci95_upper,matrices,states,expected_positive_direction
10,h0.85_f16_r3,0.85,16,3,False,02,A,MODEL_UP,MODEL_DOWN,MODEL_UP_minus_MODEL_DOWN,0.035875,0.029284374999999998,0.042114843750000006,200,1000,True
10,h0.85_f16_r3,0.85,16,3,False,02,A,MODEL_UP,NOOP,MODEL_UP_minus_NOOP,0.012125,0.005656250000000001,0.0177328125,200,1000,True
10,h0.85_f16_r3,0.85,16,3,False,02,A,NOOP,MODEL_DOWN,NOOP_minus_MODEL_DOWN,0.02375,0.0176453125,0.029364843749999998,200,1000,True
10,h0.85_f16_r3,0.85,16,3,False,02,A,RANDOM,NOOP,RANDOM_minus_NOOP,-0.002375,-0.0077953125,0.003069531249999999,200,1000,False
10,h0.85_f16_r3,0.85,16,3,False,02,B,MODEL_UP,MODEL_DOWN,MODEL_UP_minus_MODEL_DOWN,0.0366875,0.029336718750000004,0.04357343749999999,200,1000,True
10,h0.85_f16_r3,0.85,16,3,False,02,B,MODEL_UP,NOOP,MODEL_UP_minus_NOOP,0.01053125,0.0055867187500000005,0.015434374999999995,200,1000,True
10,h0.85_f16_r3,0.85,16,3,False,02,B,NOOP,MODEL_DOWN,NOOP_minus_MODEL_DOWN,0.02615625,0.02081171875,0.032562499999999994,200,1000,True
10,h0.85_f16_r3,0.85,16,3,False,02,B,RANDOM,NOOP,RANDOM_minus_NOOP,-0.00059375,-0.00530234375,0.0040351562499999945,200,1000,False
11,h0.85_f16_r4,0.85,16,4,False,02,A,MODEL_UP,MODEL_DOWN,MODEL_UP_minus_MODEL_DOWN,0.03803125,0.03202421875,0.04423984375,200,1000,True
11,h0.85_f16_r4,0.85,16,4,False,02,A,MODEL_UP,NOOP,MODEL_UP_minus_NOOP,0.01353125,0.0079234375,0.018927343749999995,200,1000,True
11,h0.85_f16_r4,0.85,16,4,False,02,A,NOOP,MODEL_DOWN,NOOP_minus_MODEL_DOWN,0.0245,0.01826015625,0.031663281249999994,200,1000,True
11,h0.85_f16_r4,0.85,16,4,False,02,A,RANDOM,NOOP,RANDOM_minus_NOOP,-0.00140625,-0.0064375000000000005,0.0037710937499999967,200,1000,False
11,h0.85_f16_r4,0.85,16,4,False,02,B,MODEL_UP,MODEL_DOWN,MODEL_UP_minus_MODEL_DOWN,0.036875,0.03071171875,0.04438906249999999,200,1000,True
11,h0.85_f16_r4,0.85,16,4,False,02,B,MODEL_UP,NOOP,MODEL_UP_minus_NOOP,0.01115625,0.006540625,0.016386718749999984,200,1000,True
11,h0.85_f16_r4,0.85,16,4,False,02,B,NOOP,MODEL_DOWN,NOOP_minus_MODEL_DOWN,0.02571875,0.02058984375,0.030799218749999996,200,1000,True
11,h0.85_f16_r4,0.85,16,4,False,02,B,RANDOM,NOOP,RANDOM_minus_NOOP,-0.00065625,-0.0049968750000000004,0.003920312499999998,200,1000,False
12,h0.88_f08_r2,0.88,8,2,False,02,A,MODEL_UP,MODEL_DOWN,MODEL_UP_minus_MODEL_DOWN,0.0993125,0.08671171875,0.111775,200,1000,True
12,h0.88_f08_r2,0.88,8,2,False,02,A,MODEL_UP,NOOP,MODEL_UP_minus_NOOP,0.0354375,0.029596874999999998,0.04141328125,200,1000,True
12,h0.88_f08_r2,0.88,8,2,False,02,A,NOOP,MODEL_DOWN,NOOP_minus_MODEL_DOWN,0.063875,0.055412499999999996,0.07393749999999999,200,1000,True
12,h0.88_f08_r2,0.88,8,2,False,02,A,RANDOM,NOOP,RANDOM_minus_NOOP,-0.0005,-0.00610078125,0.00484453124999999,200,1000,False
12,h0.88_f08_r2,0.88,8,2,False,02,B,MODEL_UP,MODEL_DOWN,MODEL_UP_minus_MODEL_DOWN,0.09540625,0.08359453125,0.10764296874999998,200,1000,True
12,h0.88_f08_r2,0.88,8,2,False,02,B,MODEL_UP,NOOP,MODEL_UP_minus_NOOP,0.0341875,0.02752421875,0.04111171874999999,200,1000,True
12,h0.88_f08_r2,0.88,8,2,False,02,B,NOOP,MODEL_DOWN,NOOP_minus_MODEL_DOWN,0.06121875,0.052585156249999994,0.06987187499999999,200,1000,True
12,h0.88_f08_r2,0.88,8,2,False,02,B,RANDOM,NOOP,RANDOM_minus_NOOP,-0.0006875,-0.00639609375,0.004982812499999998,200,1000,False
13,h0.88_f08_r3,0.88,8,3,False,02,A,MODEL_UP,MODEL_DOWN,MODEL_UP_minus_MODEL_DOWN,0.0944375,0.08369765625,0.10579609374999997,200,1000,True
