pair_id,feature_kind,condition,generation,balanced_accuracy,opposite_rescue_branch
renewal-v2-1-03814192ab7b0f9d,phenotype,rescue_opposite_enter_g4,16,0.64453125,True
renewal-v2-1-03814192ab7b0f9d,phenotype,rescue_same_enter_g4,16,0.64453125,False
renewal-v2-0-4c63bcec589f8514,carrier,ablate_after_g2,16,0.0,False
renewal-v2-0-4c63bcec589f8514,carrier,intact,16,0.7578125,False
renewal-v2-0-4c63bcec589f8514,carrier,no_rewrite,16,1.0,False
renewal-v2-0-4c63bcec589f8514,carrier,read_disabled,16,0.0,False
renewal-v2-0-4c63bcec589f8514,carrier,rescue_opposite_enter_g4,16,0.7578125,True
renewal-v2-0-4c63bcec589f8514,carrier,rescue_same_enter_g4,16,0.7578125,False
renewal-v2-0-4c63bcec589f8514,phenotype,ablate_after_g2,16,0.0,False
renewal-v2-0-4c63bcec589f8514,phenotype,intact,16,0.765625,False
renewal-v2-0-4c63bcec589f8514,phenotype,no_rewrite,16,0.5,False
renewal-v2-0-4c63bcec589f8514,phenotype,read_disabled,16,0.0,False
renewal-v2-0-4c63bcec589f8514,phenotype,rescue_opposite_enter_g4,16,0.765625,True
renewal-v2-0-4c63bcec589f8514,phenotype,rescue_same_enter_g4,16,0.765625,False
renewal-v2-1-029c91b515348480,carrier,ablate_after_g2,16,0.0,False
renewal-v2-1-029c91b515348480,carrier,intact,16,0.5234375,False
renewal-v2-1-029c91b515348480,carrier,no_rewrite,16,1.0,False
renewal-v2-1-029c91b515348480,carrier,read_disabled,16,0.0,False
renewal-v2-1-029c91b515348480,carrier,rescue_opposite_enter_g4,16,0.5234375,True
renewal-v2-1-029c91b515348480,carrier,rescue_same_enter_g4,16,0.5234375,False
renewal-v2-1-029c91b515348480,phenotype,ablate_after_g2,16,0.0,False
renewal-v2-1-029c91b515348480,phenotype,intact,16,0.48828125,False
renewal-v2-1-029c91b515348480,phenotype,no_rewrite,16,0.5,False
renewal-v2-1-029c91b515348480,phenotype,read_disabled,16,0.0,False
renewal-v2-1-029c91b515348480,phenotype,rescue_opposite_enter_g4,16,0.48828125,True
renewal-v2-1-029c91b515348480,phenotype,rescue_same_enter_g4,16,0.48828125,False
renewal-v2-1-0a70a92569b25466,carrier,ablate_after_g2,16,0.0,False
renewal-v2-1-0a70a92569b25466,carrier,intact,16,0.56640625,False
renewal-v2-1-0a70a92569b25466,carrier,no_rewrite,16,1.0,False
renewal-v2-1-0a70a92569b25466,carrier,read_disabled,16,0.0,False
renewal-v2-1-0a70a92569b25466,carrier,rescue_opposite_enter_g4,16,0.56640625,True
renewal-v2-1-0a70a92569b25466,carrier,rescue_same_enter_g4,16,0.56640625,False
renewal-v2-1-0a70a92569b25466,phenotype,ablate_after_g2,16,0.0,False
renewal-v2-1-0a70a92569b25466,phenotype,intact,16,0.52734375,False
renewal-v2-1-0a70a92569b25466,phenotype,no_rewrite,16,0.0,False
renewal-v2-1-0a70a92569b25466,phenotype,read_disabled,16,0.0,False
renewal-v2-1-0a70a92569b25466,phenotype,rescue_opposite_enter_g4,16,0.52734375,True
renewal-v2-1-0a70a92569b25466,phenotype,rescue_same_enter_g4,16,0.52734375,False
renewal-v2-1-04a7140c6c939c6d,carrier,ablate_after_g2,16,0.0,False
renewal-v2-1-04a7140c6c939c6d,carrier,intact,16,0.5390625,False
renewal-v2-1-04a7140c6c939c6d,carrier,no_rewrite,16,1.0,False
renewal-v2-1-04a7140c6c939c6d,carrier,read_disabled,16,0.0,False
renewal-v2-1-04a7140c6c939c6d,carrier,rescue_opposite_enter_g4,16,0.5390625,True
renewal-v2-1-04a7140c6c939c6d,carrier,rescue_same_enter_g4,16,0.5390625,False
renewal-v2-1-04a7140c6c939c6d,phenotype,ablate_after_g2,16,0.0,False
renewal-v2-1-04a7140c6c939c6d,phenotype,intact,16,0.54296875,False
renewal-v2-1-04a7140c6c939c6d,phenotype,no_rewrite,16,0.25390625,False
renewal-v2-1-04a7140c6c939c6d,phenotype,read_disabled,16,0.0,False
renewal-v2-1-04a7140c6c939c6d,phenotype,rescue_opposite_enter_g4,16,0.54296875,True
renewal-v2-1-04a7140c6c939c6d,phenotype,rescue_same_enter_g4,16,0.54296875,False
renewal-v2-3-5f507d11ddce929a,carrier,ablate_after_g2,16,0.0,False
renewal-v2-3-5f507d11ddce929a,carrier,intact,16,0.62109375,False
renewal-v2-3-5f507d11ddce929a,carrier,no_rewrite,16,1.0,False
renewal-v2-3-5f507d11ddce929a,carrier,read_disabled,16,0.0,False
renewal-v2-3-5f507d11ddce929a,carrier,rescue_opposite_enter_g4,16,0.62109375,True
renewal-v2-3-5f507d11ddce929a,carrier,rescue_same_enter_g4,16,0.62109375,False
renewal-v2-3-5f507d11ddce929a,phenotype,ablate_after_g2,16,0.0,False
renewal-v2-3-5f507d11ddce929a,phenotype,intact,16,0.61328125,False
renewal-v2-3-5f507d11ddce929a,phenotype,no_rewrite,16,0.0,False
renewal-v2-3-5f507d11ddce929a,phenotype,read_disabled,16,0.0,False
renewal-v2-3-5f507d11ddce929a,phenotype,rescue_opposite_enter_g4,16,0.61328125,True
renewal-v2-3-5f507d11ddce929a,phenotype,rescue_same_enter_g4,16,0.61328125,False
renewal-v2-1-17bdb9132e8bf8a3,carrier,ablate_after_g2,16,0.0,False
renewal-v2-1-17bdb9132e8bf8a3,carrier,intact,16,0.671875,False
renewal-v2-1-17bdb9132e8bf8a3,carrier,no_rewrite,16,1.0,False
renewal-v2-1-17bdb9132e8bf8a3,carrier,read_disabled,16,0.0,False
renewal-v2-1-17bdb9132e8bf8a3,carrier,rescue_opposite_enter_g4,16,0.671875,True
renewal-v2-1-17bdb9132e8bf8a3,carrier,rescue_same_enter_g4,16,0.671875,False
renewal-v2-1-17bdb9132e8bf8a3,phenotype,ablate_after_g2,16,0.0,False
renewal-v2-1-17bdb9132e8bf8a3,phenotype,intact,16,0.6640625,False
