state_id,candidate,matrix_id,landmark,generation,mass,occupied_types,state_digest
VALI-c03-m120-g020,03,120,20,20,47,8,8fb6ea1db8f324f2c5cf7cc6e14e32d60bbdc307ee8b5d2a8bd6b73976ab2a44
VALI-c03-m120-g035,03,120,35,35,38,12,67888c53de525fb3645a7adfd4c908135fd8a8d74f2cc955e3041504e1433838
VALI-c03-m120-g050,03,120,50,50,39,9,0ab52aebf52d3b0bd9d55d843a803ec66ae09082ce0048ff6325eb1e7018c6cc
VALI-c03-m120-g065,03,120,65,65,39,11,19a6071ad6f2b867dd0563e2b6a5711e626e5f0b11387d3c13c0b104a6f49e0d
VALI-c03-m120-g080,03,120,80,80,33,9,5a8647cf31216ad291572cceab11a46445ea463809fd0be204982671b058556e
VALI-c02-m121-g020,02,121,20,20,40,14,f808126e54735f2b0e79ccb9ff8e38b300fc8a3e09d9084f5061bb8a23b16ad2
VALI-c02-m121-g035,02,121,35,35,40,11,58c76814f6041d7b1a2d52ab2cc191ff913c4f14a91510948f8a2b3cc0de884c
VALI-c02-m121-g050,02,121,50,50,40,8,984e49a85041fd050106d44d626240a27cd7ad413de2d2e6d46a3636346f1642
VALI-c02-m121-g065,02,121,65,65,40,16,64142eb138ddbda05176696bb92b32324a904dcb008585ae30d66b084a592f10
VALI-c02-m121-g080,02,121,80,80,40,10,36e4fa020f4d0820a57f359db7b25b7e831b36ed15d638d847edfc7693e024f2
VALI-c03-m121-g020,03,121,20,20,41,6,3401d60ebe32499d93f1fa45f8092588eee2167b0c6a8238c8000b8f039be016
VALI-c03-m121-g035,03,121,35,35,42,12,6aded6b7b21c53a1752a27bebf867b83679ee08396fdb110517da822c4dc474c
VALI-c03-m121-g050,03,121,50,50,41,14,b70da5d1ed6ca7f0c9d3fdffa4218e8fd8e180a89327a358e977b37c8e7fd8e4
VALI-c03-m121-g065,03,121,65,65,43,12,74a1298730060af49b62747ec5a1468a5d9e11aa2f91b7f10f8abaebb1d40d39
VALI-c03-m121-g080,03,121,80,80,36,17,5afd51b94dc542edecd72fa2a737b8b63b93bcd854c0e642cfaa1f0c5148571a
VALI-c02-m122-g020,02,122,20,20,40,10,c5411932eda0f395a7ee7700141842667f6aac5dc1d0daa883d5fd6473155140
VALI-c02-m122-g035,02,122,35,35,40,12,2c00621fb30a42c5aac0025388a1d0cbe94ff5275af0ebef042307dfd261db86
VALI-c02-m122-g050,02,122,50,50,40,8,27e7b80878f163706655aa5b2c8e4b7802892ed70d4aad2b533478ed6a4e56da
VALI-c02-m122-g065,02,122,65,65,40,5,81f90052578cd40f30a64f9798e8e5ae147a769d3b373cc9ff9139ee2655f369
VALI-c02-m122-g080,02,122,80,80,40,10,9301f53bbe9277bd9a3affaad58ae5d2c74d199adcc12bae0e6019ec8aeff77c
VALI-c03-m122-g020,03,122,20,20,38,9,f24e583a4fb8e76a128544b48d10e4adf36635ac5a76eb452a5fb8af9ae88d82
VALI-c03-m122-g035,03,122,35,35,42,6,c110d5be8379ccfca5b3135334a3e476252c04a1b89d9f20ecc38518568aa9a9
VALI-c03-m122-g050,03,122,50,50,42,8,10fbd8b877185ba51dee0201727d8e625a6ab631c96c3818fd7ad848f4822e12
VALI-c03-m122-g065,03,122,65,65,36,3,e1a2afe0ce7662a4edcf6b4c7002f31eeddd8669f5846d243d2d78d5beaa52bd
VALI-c03-m122-g080,03,122,80,80,37,6,63c77085b6336fe65c78e432a8cf5a32d8fb63bf009e8af0b2c41f22a43a8f40
VALI-c02-m123-g020,02,123,20,20,40,23,a103fe125dd5462f86168944fcc46bb5514105c49107c301d1acc3c0f62fe27a
VALI-c02-m123-g035,02,123,35,35,40,21,0ecf024449a13c2187adb87072f2378ddda69d485ef4930988422359a5a44efb
VALI-c02-m123-g050,02,123,50,50,40,24,ffc0e3290f0fa80de18f03f2bf36a1632c549f6cc4fa458559ec72d0ff3ceb5c
VALI-c02-m123-g065,02,123,65,65,40,21,b356aeacacab9339a522f5057fd4f131dc33b092a9717778651349c362365395
VALI-c02-m123-g080,02,123,80,80,40,19,993bd8f1e5c9910ee8641506c662fa67e4a8b4bd9faac03f8ac712d1296b6653
VALI-c03-m123-g020,03,123,20,20,32,16,b5fef052757e14ac8bbc27b553aab8a862e29c7cf2d53b072fa8e1963e6b1574
VALI-c03-m123-g035,03,123,35,35,44,25,2bcc76f8ad916804b7ef28a9077e71963b94b33b1954a2323ae4996711264aae
VALI-c03-m123-g050,03,123,50,50,51,28,11dcf8296a52655fafdccfada4ad4c47af53481ac713c69ae7db2c90721d1a08
VALI-c03-m123-g065,03,123,65,65,39,25,34186908a50b613910e3a077a918ca7bafef0f46ebdfc57fd7297c35c4dfed88
VALI-c03-m123-g080,03,123,80,80,40,16,3a7566899e69502bf3910056948349560b2cac502480c7bc2a50b4b433300f06
VALI-c02-m124-g020,02,124,20,20,40,16,5eda9a49f478ce4f51d3008d403ea3963715918dd9fb3bfd4f071614ab42ba16
VALI-c02-m124-g035,02,124,35,35,40,16,b7d407ac2282906449cb9abb6f349dc6cf1ca8301f33e1f14b9b24a04b44afcc
VALI-c02-m124-g050,02,124,50,50,40,17,0243ca903b44c92dd61491de857b88f556fb9d1e362000ddf29286f5cc4fce7f
VALI-c02-m124-g065,02,124,65,65,40,15,1a888780e69fd7f92662a5d0fb90fd733571d47700a3e94df967a861e6d07466
VALI-c02-m124-g080,02,124,80,80,40,18,b2a8a1fd82a522236adc2c350080f88805855b87e93c6d943b46a7b5b0fc9220
VALI-c03-m124-g020,03,124,20,20,44,18,1f0b78b8b23c43645b330086a4e156c13744e8a6fe484b679eeebf4eb47229e3
VALI-c03-m124-g035,03,124,35,35,36,19,479ce4fab9718a8ccf5a1bb32db8cb6d5958ed7e9fa6f9a1ce086cecbce30089
VALI-c03-m124-g050,03,124,50,50,45,24,976891218b3b120d725f7564a91e6022a33adf3f5b1cab2d3941f3a2b885c976
VALI-c03-m124-g065,03,124,65,65,33,13,c25d6606ae7b20b05e8caf40394786b56ea9d7d55156cf66c1054ab59df2fbc8
VALI-c03-m124-g080,03,124,80,80,32,10,28355bc877febbd6bd0bacf3432ec383ca7c55eea528c8fc472519358f39bee5
VALI-c02-m125-g020,02,125,20,20,40,21,f1d82535b5b6f1a1f9172d0b8c8cf21faf76f78000ad43ef95371007a94025e4
VALI-c02-m125-g035,02,125,35,35,40,21,98668b916b2fcc7e960aa5b16d9466b8a6a030ae6f9565cd416e1a122146daf7
VALI-c02-m125-g050,02,125,50,50,40,20,7c5fd78214b35e990f70b91d2e2c857cbd7b7046b2ab91efe832ea382cc672b2
VALI-c02-m125-g065,02,125,65,65,40,8,80ecd9f5483417e6073742e0d05d0e32688536ab44fcec260205cd7aa1f7d1ee
VALI-c02-m125-g080,02,125,80,80,40,15,4b62e71fe3dc1c38db7ce3e03349f8f8c707dbca40a5c6adc935152a9adb6288
VALI-c03-m125-g020,03,125,20,20,38,16,f0a25f9de9c0e5703f3f03cbf0db74b09d3452cfcc8a4eedd284444bea0a18e5
VALI-c03-m125-g035,03,125,35,35,38,20,0692048849ebf23b2acc5742f696505f7ba9314287101652cc66318f64f5cb3e
VALI-c03-m125-g050,03,125,50,50,43,28,a9fe98f833439efa2ba00aa135068421d6b1f2058091009329413ea905b0746d
VALI-c03-m125-g065,03,125,65,65,40,20,efdb278b8da26ad1e6e0c89520a2fa8c2c3ca8fc99be777ab98195cda8340702
