state_id,cohort,candidate,matrix_id,landmark,mass,previous_growth_steps,cumulative_growth_steps,q_all,q_half_A,q_half_B,prediction_h10,prediction_h10_state,prediction_h10_state_beta,prediction_h10_state_beta_interaction,prediction_state_only,prediction_beta_only,prediction_h10_beta
MECHCONF-c02-m115-g035,MECHCONF,02,115,35,40,63,1992,0.375,0.4375,0.3125,0.37256997445945145,0.3794758379515647,0.3633039505154276,0.28662030992305,0.658896285424558,0.3845487765955192,0.3594388478271036
MECHCONF-c02-m115-g050,MECHCONF,02,115,50,40,86,2714,0.203125,0.28125,0.125,0.2929427018495972,0.30936720964457787,0.29476383313811994,0.2265842110160487,0.46023606235327663,0.3845487765955192,0.28135951930002306
MECHCONF-c02-m115-g065,MECHCONF,02,115,65,40,53,3532,0.5,0.5,0.5,0.32709610248526744,0.32745468081551377,0.31238369024636525,0.2508795851761953,0.35712370522527265,0.3845487765955192,0.3147636542684623
MECHCONF-c02-m115-g080,MECHCONF,02,115,80,40,34,4396,0.265625,0.21875,0.3125,0.43764984395384227,0.4606607787343634,0.4435018818885683,0.36287095437388045,0.49175524291972444,0.3845487765955192,0.42377420422539824
MECHCONF-c03-m115-g020,MECHCONF,03,115,20,41,41,769,0.5,0.5,0.5,0.4719593886442084,0.48520530487331254,0.45517213491411956,0.35812271149917785,0.6632498827729953,0.4043764771532292,0.4448789782356303
MECHCONF-c03-m115-g035,MECHCONF,03,115,35,40,21,1443,0.390625,0.40625,0.375,0.5144733930984816,0.535769640022483,0.5056810614296522,0.42584886880817585,0.526300098237145,0.4043764771532292,0.4872043306607612
MECHCONF-c03-m115-g050,MECHCONF,03,115,50,35,51,2064,0.453125,0.5,0.40625,0.5544684074935717,0.6077844528759229,0.5786930595497193,0.4909923616819527,0.5845758716766134,0.4043764771532292,0.5273820930000845
MECHCONF-c03-m115-g065,MECHCONF,03,115,65,35,49,2760,0.34375,0.34375,0.34375,0.45468230277174837,0.48731378457406654,0.45726602998904636,0.3708622674084313,0.5993991092034556,0.4043764771532292,0.4277901013554072
MECHCONF-c03-m115-g080,MECHCONF,03,115,80,31,40,3436,0.28125,0.21875,0.34375,0.4392886294965106,0.46214385876792125,0.4323393260899082,0.34081980626058167,0.3536657506658345,0.4043764771532292,0.41261798277907835
MECHCONF-c02-m116-g020,MECHCONF,02,116,20,40,55,762,0.15625,0.15625,0.15625,0.38474006722602955,0.3761477183340925,0.38471661569710064,0.42052785646796337,0.30410201008639415,0.3038374739204855,0.3898907673783254
MECHCONF-c02-m116-g035,MECHCONF,02,116,35,40,17,1498,0.296875,0.3125,0.28125,0.267763129437899,0.2578664639163011,0.264884918911588,0.2900397765003282,0.279138446961363,0.3038374739204855,0.272040229484823
MECHCONF-c02-m116-g050,MECHCONF,02,116,50,40,73,2018,0.328125,0.375,0.28125,0.5581059756740703,0.6074472036541064,0.6160817323356892,0.6494710525573392,0.5795110930247946,0.3038374739204855,0.5634521094406243
MECHCONF-c02-m116-g065,MECHCONF,02,116,65,40,48,2672,0.484375,0.5,0.46875,0.3656419432588613,0.3705704300806267,0.37908947881098937,0.4299337222415203,0.3822769738536724,0.3038374739204855,0.3706910110079908
MECHCONF-c02-m116-g080,MECHCONF,02,116,80,40,59,3233,0.15625,0.1875,0.125,0.35333320469972035,0.348805347497078,0.3571079172675653,0.38531618603535506,0.3224166793435785,0.3038374739204855,0.35830830823718096
MECHCONF-c03-m116-g020,MECHCONF,03,116,20,37,18,601,0.21875,0.3125,0.125,0.30436147413510783,0.31406988543746645,0.304858603737845,0.3220245208989454,0.29452764667217535,0.2643399836674432,0.2846909537289162
MECHCONF-c03-m116-g035,MECHCONF,03,116,35,38,30,1116,0.375,0.28125,0.46875,0.5032948432984283,0.5175244327593214,0.5067544590799821,0.5127031883893424,0.4489671559142172,0.2643399836674432,0.4796320805842077
MECHCONF-c03-m116-g050,MECHCONF,03,116,50,39,19,1586,0.3125,0.28125,0.34375,0.3852367018043084,0.38810443209409956,0.37791812496812144,0.3812285456789619,0.39010642819762853,0.2643399836674432,0.36306731688087374
MECHCONF-c03-m116-g065,MECHCONF,03,116,65,40,34,2107,0.578125,0.65625,0.5,0.4868353137357958,0.5198287315319137,0.5090614002462395,0.5158797470401918,0.6238505183293913,0.2643399836674432,0.463224712864159
MECHCONF-c03-m116-g080,MECHCONF,03,116,80,43,63,2482,0.3125,0.375,0.25,0.3558394794447141,0.35854443370222844,0.34869185045418355,0.3524805418451993,0.27167440963510725,0.2643399836674432,0.3344414973516338
MECHCONF-c02-m117-g020,MECHCONF,02,117,20,40,40,1064,0.296875,0.3125,0.28125,0.4791408097731026,0.4830786711272081,0.4629911843411672,0.4748706366752792,0.37231136038533474,0.4006413392294273,0.4625618925740259
MECHCONF-c02-m117-g035,MECHCONF,02,117,35,40,44,1757,0.421875,0.40625,0.4375,0.485799857818996,0.48129424470633314,0.461214754207581,0.47789666248334767,0.3340056866761412,0.4006413392294273,0.46919808734256213
MECHCONF-c02-m117-g050,MECHCONF,02,117,50,40,59,2406,0.765625,0.78125,0.75,0.6405001017415819,0.6653711106735191,0.6471939392199861,0.6682620986022174,0.5197184026708482,0.4006413392294273,0.6250379080445659
MECHCONF-c02-m117-g065,MECHCONF,02,117,65,40,38,3060,0.34375,0.4375,0.25,0.5972817751873206,0.6188716128477278,0.5996882275157974,0.6056330207641524,0.49600321459374613,0.4006413392294273,0.5811762416746107
MECHCONF-c02-m117-g080,MECHCONF,02,117,80,40,36,3769,0.515625,0.59375,0.4375,0.4228027881361365,0.4469427554636232,0.4271163182112553,0.44160113831018377,0.5026260233125986,0.4006413392294273,0.4066513061980406
MECHCONF-c03-m117-g020,MECHCONF,03,117,20,34,52,796,0.6875,0.5625,0.8125,0.5020156283969643,0.5404667546393556,0.4860470849384509,0.5111979555939555,0.451669774304691,0.4191008431175889,0.45224941555170883
MECHCONF-c03-m117-g035,MECHCONF,03,117,35,43,30,1432,0.640625,0.6875,0.59375,0.6010941493139527,0.6291414291060266,0.5770042032078101,0.6063032563183685,0.5546504030129282,0.4191008431175889,0.5524012201929144
MECHCONF-c03-m117-g050,MECHCONF,03,117,50,38,38,2062,0.40625,0.375,0.4375,0.6609914025036554,0.691730643978816,0.6434052319359264,0.662027020298675,0.461162622332208,0.4191008431175889,0.6149260431038365
MECHCONF-c03-m117-g065,MECHCONF,03,117,65,38,45,2591,0.734375,0.71875,0.75,0.7523480595187892,0.7704439931255453,0.7296350833861791,0.7523632712058724,0.5503569165287177,0.4191008431175889,0.7133123273346189
MECHCONF-c03-m117-g080,MECHCONF,03,117,80,38,40,3273,0.53125,0.625,0.4375,0.7316865482432544,0.7435643880408297,0.6998386751900937,0.7227568178272428,0.4825488651795579,0.4191008431175889,0.6907328236385915
