candidate,matrix_id,residence_length,start_support,durable_support,separation,residence_episodes,coherent_clusters,stable_forms,distinct_stable_forms,rule_survives
02,198,8,4,4,0.8,60,1,1,1,False
02,198,8,4,4,0.85,60,1,1,1,False
02,198,8,4,4,0.9,60,1,1,1,False
02,198,8,8,4,0.8,60,1,1,1,False
02,198,8,8,4,0.85,60,1,1,1,False
02,198,8,8,4,0.9,60,1,1,1,False
02,198,8,16,4,0.8,60,1,1,1,False
02,198,8,16,4,0.85,60,1,1,1,False
02,198,8,16,4,0.9,60,1,1,1,False
02,198,16,4,4,0.8,1,1,0,0,False
02,198,16,4,4,0.85,1,1,0,0,False
02,198,16,4,4,0.9,1,1,0,0,False
02,198,16,8,4,0.8,1,1,0,0,False
02,198,16,8,4,0.85,1,1,0,0,False
02,198,16,8,4,0.9,1,1,0,0,False
02,198,16,16,4,0.8,1,1,0,0,False
02,198,16,16,4,0.85,1,1,0,0,False
02,198,16,16,4,0.9,1,1,0,0,False
02,97,4,4,4,0.8,3026,79,26,2,True
02,97,4,4,4,0.85,3026,79,26,2,True
02,97,4,4,4,0.9,3026,79,26,2,True
02,97,4,8,4,0.8,3026,79,26,2,True
02,97,4,8,4,0.85,3026,79,26,2,True
02,97,4,8,4,0.9,3026,79,26,2,True
02,97,4,16,4,0.8,3026,79,26,2,True
02,97,4,16,4,0.85,3026,79,26,2,True
02,97,4,16,4,0.9,3026,79,26,2,True
02,97,8,4,4,0.8,358,7,4,1,False
02,97,8,4,4,0.85,358,7,4,1,False
02,97,8,4,4,0.9,358,7,4,1,False
02,97,8,8,4,0.8,358,7,4,1,False
02,97,8,8,4,0.85,358,7,4,1,False
02,97,8,8,4,0.9,358,7,4,1,False
02,97,8,16,4,0.8,358,7,4,1,False
02,97,8,16,4,0.85,358,7,4,1,False
02,97,8,16,4,0.9,358,7,4,1,False
02,97,16,4,4,0.8,4,1,1,1,False
02,97,16,4,4,0.85,4,1,1,1,False
02,97,16,4,4,0.9,4,1,1,1,False
02,97,16,8,4,0.8,4,1,0,0,False
02,97,16,8,4,0.85,4,1,0,0,False
02,97,16,8,4,0.9,4,1,0,0,False
02,97,16,16,4,0.8,4,1,0,0,False
