candidate,matrix_id,kind,relation,source_lineage,target_lineage,h
02,11,strict,cross,84,73,0.9773881891005063
02,11,strict,cross,84,82,0.9742682837095235
02,11,f12,within,0,0,0.8535085360979426
02,11,f12,within,1,1,0.8062551419496998
02,11,f12,within,2,2,0.8370221386594625
02,11,f12,within,3,3,0.4446990306838508
02,11,f12,within,4,4,0.8968379427522918
02,11,f12,within,5,5,0.8069130775366931
02,11,f12,within,6,6,0.36824119529089927
02,11,f12,within,7,7,0.6225224987463168
02,11,f12,within,8,8,0.6833172774068269
02,11,f12,within,9,9,0.5846268305978438
02,11,f12,within,10,10,0.9488266864867063
02,11,f12,within,11,11,0.8099531445617963
02,11,f12,within,12,12,0.9641446910759133
02,11,f12,within,13,13,0.7933034177096197
02,11,f12,within,14,14,0.4399620794096772
02,11,f12,within,15,15,0.867137196343633
02,11,f12,within,16,16,0.6340188518610809
02,11,f12,within,17,17,0.9107962159130374
02,11,f12,within,18,18,0.9002301636566088
02,11,f12,within,19,19,0.9624651584792822
02,11,f12,cross,0,1,0.707861296906649
02,11,f12,cross,0,2,0.3756257405579348
02,11,f12,cross,0,3,0.23927198384073772
02,11,f12,cross,0,4,0.0713279665954616
02,11,f12,cross,0,5,0.1649728789290396
02,11,f12,cross,0,6,0.2933731043832592
02,11,f12,cross,0,7,0.6559748701764652
02,11,f12,cross,0,8,0.24192633762218518
02,11,f12,cross,0,9,0.5391950813049046
02,11,f12,cross,0,10,0.1029263894355026
02,11,f12,cross,0,11,0.5659274004348784
02,11,f12,cross,0,12,0.3950399883735927
02,11,f12,cross,0,13,0.4031443296118555
02,11,f12,cross,0,14,0.47613791812159917
02,11,f12,cross,0,15,0.12956385981009888
02,11,f12,cross,0,16,0.2670757716430228
02,11,f12,cross,0,17,0.21207431783926994
02,11,f12,cross,0,18,0.13067929738635134
02,11,f12,cross,0,19,0.13348476249438293
02,11,f12,cross,1,0,0.41082116952052544
02,11,f12,cross,1,2,0.9047403536522961
02,11,f12,cross,1,3,0.10912269285888336
02,11,f12,cross,1,4,0.08369755567089437
02,11,f12,cross,1,5,0.1210823204450196
02,11,f12,cross,1,6,0.8352700660397144
02,11,f12,cross,1,7,0.581475156446725
02,11,f12,cross,1,8,0.646065855704647
02,11,f12,cross,1,9,0.2684866111582439
02,11,f12,cross,1,10,0.1532258064516129
02,11,f12,cross,1,11,0.8860559912263049
02,11,f12,cross,1,12,0.8644529445833626
02,11,f12,cross,1,13,0.8739968078886893
02,11,f12,cross,1,14,0.8426569945034118
02,11,f12,cross,1,15,0.09991333593073146
02,11,f12,cross,1,16,0.7586302634039072
02,11,f12,cross,1,17,0.1607966305460209
02,11,f12,cross,1,18,0.164393145326
02,11,f12,cross,1,19,0.08043341376678731
02,11,f12,cross,2,0,0.5551415985684804
02,11,f12,cross,2,1,0.7758277949320935
02,11,f12,cross,2,3,0.3865466207888643
02,11,f12,cross,2,4,0.2685224229881722
02,11,f12,cross,2,5,0.36731238184078135
02,11,f12,cross,2,6,0.7218877384602226
02,11,f12,cross,2,7,0.6646763931717283
02,11,f12,cross,2,8,0.7237861902142887
02,11,f12,cross,2,9,0.4382226673110958
02,11,f12,cross,2,10,0.37653779402484616
02,11,f12,cross,2,11,0.8215505069607129
02,11,f12,cross,2,12,0.7991943565280735
02,11,f12,cross,2,13,0.7884841093667786
02,11,f12,cross,2,14,0.7291493768407323
02,11,f12,cross,2,15,0.15094833137361283
02,11,f12,cross,2,16,0.7758830198882037
02,11,f12,cross,2,17,0.38948584429763206
02,11,f12,cross,2,18,0.37880720420707903
02,11,f12,cross,2,19,0.31156172273035576
02,11,f12,cross,3,0,0.6996060671669887
02,11,f12,cross,3,1,0.5524130179030491
02,11,f12,cross,3,2,0.08001322641986387
02,11,f12,cross,3,4,0.26975564671684193
02,11,f12,cross,3,5,0.3051400953231473
02,11,f12,cross,3,6,0.14390989949130542
02,11,f12,cross,3,7,0.3582515023102055
02,11,f12,cross,3,8,0.1019417021617522
02,11,f12,cross,3,9,0.6168002055536178
02,11,f12,cross,3,10,0.18668216415808592
02,11,f12,cross,3,11,0.3092257711580463
02,11,f12,cross,3,12,0.05043696374782321
02,11,f12,cross,3,13,0.04708489851328233
02,11,f12,cross,3,14,0.18355229243269536
02,11,f12,cross,3,15,0.29627451746099975
02,11,f12,cross,3,16,0.18039260073589583
02,11,f12,cross,3,17,0.4389835883413576
02,11,f12,cross,3,18,0.20621437645077342
02,11,f12,cross,3,19,0.32071349029490925
02,11,f12,cross,4,0,0.09560825458768511
02,11,f12,cross,4,1,0.09203669564742618
02,11,f12,cross,4,2,0.010277830647412976
02,11,f12,cross,4,3,0.6867164457482922
02,11,f12,cross,4,5,0.7319233408600854
02,11,f12,cross,4,6,0.23561630444483964
02,11,f12,cross,4,7,0.3740579208834195
02,11,f12,cross,4,8,0.5072726214579548
02,11,f12,cross,4,9,0.705198595720893
02,11,f12,cross,4,10,0.6927449040191673
02,11,f12,cross,4,11,0.06699534341555943
02,11,f12,cross,4,12,0.09286152462317204
02,11,f12,cross,4,13,0.02587256775882401
02,11,f12,cross,4,14,0.24323551897598128
02,11,f12,cross,4,15,0.5911785628930631
02,11,f12,cross,4,16,0.4361433857910681
02,11,f12,cross,4,17,0.6834454389159851
02,11,f12,cross,4,18,0.7309917583994671
02,11,f12,cross,4,19,0.7860332056045656
02,11,f12,cross,5,0,0.24415944726754818
02,11,f12,cross,5,1,0.3536723892135038
02,11,f12,cross,5,2,0.22987094891080334
02,11,f12,cross,5,3,0.7623395035425612
02,11,f12,cross,5,4,0.7818389363393099
02,11,f12,cross,5,6,0.41732050623667627
02,11,f12,cross,5,7,0.3743623771734602
02,11,f12,cross,5,8,0.5704960835758953
02,11,f12,cross,5,9,0.7385442994967808
02,11,f12,cross,5,10,0.6942165178605625
02,11,f12,cross,5,11,0.30243772418589865
02,11,f12,cross,5,12,0.2199956066404811
02,11,f12,cross,5,13,0.18826004195071946
02,11,f12,cross,5,14,0.2669593674873671
02,11,f12,cross,5,15,0.4908877979387994
02,11,f12,cross,5,16,0.6630095519284835
02,11,f12,cross,5,17,0.8129017335645062
02,11,f12,cross,5,18,0.6884817865679106
02,11,f12,cross,5,19,0.8110350040397627
02,11,f12,cross,6,0,0.046040275887672136
02,11,f12,cross,6,1,0.2533342840259821
02,11,f12,cross,6,2,0.05685352436149612
02,11,f12,cross,6,3,0.22554697424303344
02,11,f12,cross,6,4,0.35347180448613164
02,11,f12,cross,6,5,0.40569511788817997
02,11,f12,cross,6,7,0.25302269968462876
02,11,f12,cross,6,8,0.14290133686991147
02,11,f12,cross,6,9,0.4278134848935691
02,11,f12,cross,6,10,0.17133610421058548
02,11,f12,cross,6,11,0.11178298748296636
02,11,f12,cross,6,12,0.03135830619547758
02,11,f12,cross,6,13,0.02108440690838388
02,11,f12,cross,6,14,0.12462063645441324
02,11,f12,cross,6,15,0.2739001877928806
02,11,f12,cross,6,16,0.35836501631369133
02,11,f12,cross,6,17,0.3871929591602947
02,11,f12,cross,6,18,0.23593570033301173
02,11,f12,cross,6,19,0.35395790044325226
02,11,f12,cross,7,0,0.21656021597851666
02,11,f12,cross,7,1,0.6349679782546195
02,11,f12,cross,7,2,0.9207003125396435
02,11,f12,cross,7,3,0.03519439937427925
02,11,f12,cross,7,4,0.10724742382709883
02,11,f12,cross,7,5,0.15756249848243317
02,11,f12,cross,7,6,0.8973840210291697
02,11,f12,cross,7,8,0.6552957516855067
02,11,f12,cross,7,9,0.24151236068494067
02,11,f12,cross,7,10,0.13427552614107777
02,11,f12,cross,7,11,0.8135971033228142
02,11,f12,cross,7,12,0.8951127795885987
02,11,f12,cross,7,13,0.9092406424521283
02,11,f12,cross,7,14,0.8936387185613646
02,11,f12,cross,7,15,0.2979821657088318
02,11,f12,cross,7,16,0.8164455126821036
02,11,f12,cross,7,17,0.07174598828616544
02,11,f12,cross,7,18,0.11952959012962001
02,11,f12,cross,7,19,0.16128099917114108
02,11,f12,cross,8,0,0.017082725909902088
02,11,f12,cross,8,1,0.0885477415123978
02,11,f12,cross,8,2,0.02815787114527753
02,11,f12,cross,8,3,0.889973074102589
02,11,f12,cross,8,4,0.8845346177372214
02,11,f12,cross,8,5,0.8894872111945751
02,11,f12,cross,8,6,0.1683941942499881
02,11,f12,cross,8,7,0.22956194397487864
02,11,f12,cross,8,9,0.6054376936168212
02,11,f12,cross,8,10,0.9216523347901758
02,11,f12,cross,8,11,0.060372137674324575
02,11,f12,cross,8,12,0.09878001832166933
02,11,f12,cross,8,13,0.018491038687627668
02,11,f12,cross,8,14,0.08796703748652171
02,11,f12,cross,8,15,0.2916843538435595
02,11,f12,cross,8,16,0.536384498209268
02,11,f12,cross,8,17,0.8804525566225176
02,11,f12,cross,8,18,0.9151787921895351
02,11,f12,cross,8,19,0.8556578053031358
02,11,f12,cross,9,0,0.729219649511809
02,11,f12,cross,9,1,0.5715042639541847
02,11,f12,cross,9,2,0.1610322096632211
02,11,f12,cross,9,3,0.32512151628297387
02,11,f12,cross,9,4,0.21077375263169582
02,11,f12,cross,9,5,0.2664563250428612
02,11,f12,cross,9,6,0.19128688342818292
02,11,f12,cross,9,7,0.473620615216698
02,11,f12,cross,9,8,0.10665466892824411
02,11,f12,cross,9,10,0.12523696703734674
02,11,f12,cross,9,11,0.38097937874703247
02,11,f12,cross,9,12,0.14122840234301295
02,11,f12,cross,9,13,0.124632168333322
