cohort,implementation,role,candidate,half,model,log_loss_nats,brier,overall_spearman,matrix_centered_spearman,states,branches
fable_headline,independent_test_2_fable,secondary_headline,02,A,direct,0.5701491595997412,0.19459213565645248,0.7168286436729822,0.2181226108459276,200,6400
fable_headline,independent_test_2_fable,secondary_headline,02,A,composite,0.5278666327958677,0.17934544868154945,0.871846375168242,0.6306637318749407,200,6400
fable_headline,independent_test_2_fable,secondary_headline,02,A,markov,0.6626039662013945,0.23478576308217383,0.37959005897952863,0.29590450425046416,200,6400
fable_headline,independent_test_2_fable,secondary_headline,02,A,semimarkov,0.6175633639830889,0.21338034475801065,0.4465801481469092,0.19944085536473996,200,6400
fable_headline,independent_test_2_fable,secondary_headline,02,A,lagged,0.5679598502820109,0.1944102758886694,0.7245737083029457,0.2329375799375706,200,6400
fable_headline,independent_test_2_fable,secondary_headline,02,B,direct,0.5680880527349143,0.19392218942441183,0.7189814161166985,0.21072521695445728,200,6400
fable_headline,independent_test_2_fable,secondary_headline,02,B,composite,0.5258247782623697,0.1789296639697789,0.8715206574002251,0.6254171588925744,200,6400
fable_headline,independent_test_2_fable,secondary_headline,02,B,markov,0.662405426739235,0.2346929521247446,0.380562084530764,0.275405502476273,200,6400
fable_headline,independent_test_2_fable,secondary_headline,02,B,semimarkov,0.615800736930149,0.21254779240952054,0.4729984674604945,0.22187457334695238,200,6400
fable_headline,independent_test_2_fable,secondary_headline,02,B,lagged,0.5666977767114325,0.19402778301207488,0.7237847602729837,0.212492510824236,200,6400
fable_headline,independent_test_2_fable,secondary_headline,03,A,direct,0.5800443641413761,0.19850191072113538,0.7630366156398308,0.37656753616652744,200,6400
fable_headline,independent_test_2_fable,secondary_headline,03,A,composite,0.5361711036599695,0.1825302405324251,0.8876585921966409,0.7054327808686106,200,6400
fable_headline,independent_test_2_fable,secondary_headline,03,A,markov,0.6668751249786314,0.23692528155462902,0.3436984706021514,0.24684622826136896,200,6400
fable_headline,independent_test_2_fable,secondary_headline,03,A,semimarkov,0.6374156231175909,0.22279932239357036,0.48259129668560435,0.3177536765563894,200,6400
fable_headline,independent_test_2_fable,secondary_headline,03,A,lagged,0.5746125191249931,0.19653031206366678,0.7818688482789689,0.3955363462517815,200,6400
fable_headline,independent_test_2_fable,secondary_headline,03,B,direct,0.6031369062089861,0.2072724711002281,0.7315758076103134,0.334763257697738,200,6400
fable_headline,independent_test_2_fable,secondary_headline,03,B,composite,0.5518015888737041,0.1896315397602401,0.867337043816131,0.6641641010340641,200,6400
fable_headline,independent_test_2_fable,secondary_headline,03,B,markov,0.6702080608840794,0.2385822877552464,0.3189384885865641,0.24042533122335163,200,6400
fable_headline,independent_test_2_fable,secondary_headline,03,B,semimarkov,0.6537707493835283,0.2304840724251725,0.43929627267716587,0.2643117028386779,200,6400
fable_headline,independent_test_2_fable,secondary_headline,03,B,lagged,0.595782108314621,0.20474765771604553,0.7541549926159509,0.3584419383279054,200,6400
