cell,candidate,branch_half,matrix_id,mean_state_spearman,slope_numerator,slope_denominator,states
c02_A,02,A,89,0.40446352817027442,0.061569738708208067,0.057229128916279431,5
c02_A,02,A,90,0.47809756371478362,0.11372793964589178,0.095944500278959011,5
c02_A,02,A,91,0.1252850844337729,0.017158759465787161,0.085964572637825046,5
c02_A,02,A,92,0.31270816628095099,0.10474771573457362,0.067772290292728493,5
c02_A,02,A,93,0.0059720873702055035,0.0035298408222622243,0.0098711206924702484,5
c02_A,02,A,94,0.13093073414159545,0.0004078114161814921,0.0013565133935633565,5
c02_A,02,A,95,0.352570238600033,0.015248529920641039,0.016763003340416378,5
c02_A,02,A,96,0.065446059915161767,0.008406800322213439,0.017466289141812884,5
c02_A,02,A,97,0,0,3.6491623469122087e-05,5
c02_A,02,A,98,0.60100059801448835,0.14501286170174818,0.050322727399390019,5
c02_A,02,A,99,0.27732724577406753,-0.0024845020144479979,0.045802835434855783,5
c02_A,02,A,100,0.59897883066526492,0.095388886016967558,0.067430928806398394,5
c02_A,02,A,101,0.19144174118896246,0.12410060585062377,0.17468846946545646,5
c02_A,02,A,102,0.13203951059745545,0.029247785828643187,0.034542663336318745,5
c02_A,02,A,103,0.10093899570665159,0.091268082951548174,0.076544723699905018,5
c02_A,02,A,104,0.028654236804515343,0.0080458397375211925,0.020810624568340767,5
c02_A,02,A,105,0.35824758482060903,0.065983211790973634,0.094809234374020709,5
c02_A,02,A,106,0.58686089853217327,0.10470608217172742,0.036506184747974561,5
c02_A,02,A,107,0.19812324074222631,0.062152318991119462,0.047207752733437039,5
c02_A,02,A,108,0.34186493133997686,0.077139490055142132,0.08479468679837901,5
c02_A,02,A,109,0.41086246299230222,0.076207768681274102,0.078183980769924069,5
c02_A,02,A,110,-0.10789340591839498,-0.00068272031345606703,0.016822448174916009,5
c02_A,02,A,111,0.66760857606872093,0.1735654367679986,0.1455178712009077,5
c02_A,02,A,112,0.6011221514636913,0.24181448756254625,0.19135093356464328,5
c02_A,02,A,113,0.50164990290254829,0.17987208677149435,0.10629542065286909,5
c02_A,02,A,114,0.069528163762555134,0.012132627122411864,0.073449996174197729,5
c02_A,02,A,115,0.15645475498392231,0.15581796667957226,0.095985310707042248,5
c02_A,02,A,116,-0.11182293957962833,-0.0084390441191942774,0.012761762439573877,5
c02_A,02,A,117,0.031636855315890514,0.02309581550798508,0.029124511561013644,5
c02_A,02,A,118,-0.43310901064231488,-0.024024037035417015,0.047799212053739479,5
c02_A,02,A,119,0.28565720059282895,0.094578763897710499,0.1179466844209353,5
