state_id,candidate,matrix_id,landmark,arm,empirical_quantile,legal_edit_count,selected_rank_zero_based,remove_type,add_type,noop_predicted_probability,predicted_probability,predicted_shift_from_noop
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m002-g050,02,2,50,Q20,0.20000000000000001,1188,237,85,62,0.13273965685342201,0.13519805988263889,0.0024584030292168768
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m002-g050,02,2,50,Q40,0.40000000000000002,1188,475,10,52,0.13273965685342201,0.14323607275164829,0.01049641589822628
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m002-g050,02,2,50,Q60,0.59999999999999998,1188,712,91,27,0.13273965685342201,0.14648235909328924,0.013742702239867233
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m002-g050,02,2,50,Q80,0.80000000000000004,1188,950,76,88,0.13273965685342201,0.15047028696157866,0.017730630108156648
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m002-g050,02,2,50,Q100,1,1188,1187,96,0,0.13273965685342201,0.17286258588732167,0.040122929033899662
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m002-g065,02,2,65,Q00,0,990,0,32,43,0.088368678139198173,0.035796882330798342,-0.052571795808399831
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m002-g065,02,2,65,Q20,0.20000000000000001,990,198,44,52,0.088368678139198173,0.089039140809497971,0.00067046267029979845
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m002-g065,02,2,65,Q40,0.40000000000000002,990,396,44,97,0.088368678139198173,0.097210325260651376,0.0088416471214532028
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m002-g065,02,2,65,Q60,0.59999999999999998,990,593,36,21,0.088368678139198173,0.10974821933187363,0.021379541192675461
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m002-g065,02,2,65,Q80,0.80000000000000004,990,791,10,38,0.088368678139198173,0.11541229204656166,0.027043613907363484
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m002-g065,02,2,65,Q100,1,990,989,55,0,0.088368678139198173,0.12980700085955391,0.041438322720355733
