scope,cell,candidate,branch_half,matrix_id,fable_effect,small_effect,fable_random_minus_noop,small_random_minus_noop,fable_loosen_minus_noop,noop_minus_fable_tighten,fable_minus_small_effect
landmark60,c03_A,03,A,77,0.375,0.125,-0.25,0.0,0.3125,0.0625,0.25
landmark60,c03_A,03,A,78,-0.0625,0.25,0.25,0.3125,0.125,-0.1875,-0.3125
landmark60,c03_A,03,A,79,0.125,0.0,0.125,0.125,0.0625,0.0625,0.125
landmark60,c03_B,03,B,0,0.4375,-0.125,-0.25,-0.25,0.25,0.1875,0.5625
landmark60,c03_B,03,B,1,0.125,0.125,-0.1875,-0.1875,-0.1875,0.3125,0.0
landmark60,c03_B,03,B,2,0.375,0.1875,0.375,0.3125,0.3125,0.0625,0.1875
landmark60,c03_B,03,B,3,0.0625,0.0625,0.0,0.0,0.125,-0.0625,0.0
landmark60,c03_B,03,B,4,0.0,0.0,-0.0625,-0.125,-0.0625,0.0625,0.0
landmark60,c03_B,03,B,5,0.0,0.1875,-0.125,-0.125,-0.125,0.125,-0.1875
landmark60,c03_B,03,B,6,0.125,-0.1875,0.0,0.0625,0.1875,-0.0625,0.3125
landmark60,c03_B,03,B,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
landmark60,c03_B,03,B,8,0.25,0.0,-0.4375,0.125,0.0625,0.1875,0.25
landmark60,c03_B,03,B,9,0.1875,0.0625,0.125,0.0625,0.125,0.0625,0.125
landmark60,c03_B,03,B,10,0.0,0.0625,-0.0625,-0.1875,-0.125,0.125,-0.0625
landmark60,c03_B,03,B,11,0.25,-0.3125,0.1875,0.125,0.3125,-0.0625,0.5625
landmark60,c03_B,03,B,12,0.0,0.0,-0.0625,0.0625,0.0625,-0.0625,0.0
landmark60,c03_B,03,B,13,0.0625,0.0,0.0625,0.0625,0.0,0.0625,0.0625
landmark60,c03_B,03,B,14,0.0625,-0.3125,0.0,0.0625,0.125,-0.0625,0.375
landmark60,c03_B,03,B,15,0.0,0.375,-0.125,0.0,0.0625,-0.0625,-0.375
landmark60,c03_B,03,B,16,0.3125,-0.125,-0.0625,-0.25,-0.125,0.4375,0.4375
landmark60,c03_B,03,B,17,0.0,-0.125,0.0625,-0.0625,-0.0625,0.0625,0.125
landmark60,c03_B,03,B,18,0.0625,0.0625,-0.125,-0.125,-0.125,0.1875,0.0
landmark60,c03_B,03,B,19,0.1875,0.1875,0.0,-0.0625,0.0,0.1875,0.0
landmark60,c03_B,03,B,20,-0.0625,-0.25,0.25,0.1875,0.0,-0.0625,0.1875
landmark60,c03_B,03,B,21,0.5625,0.1875,0.0,-0.0625,0.1875,0.375,0.375
landmark60,c03_B,03,B,22,0.1875,0.0625,0.1875,0.1875,0.125,0.0625,0.125
landmark60,c03_B,03,B,23,0.1875,0.0,-0.4375,-0.0625,0.0625,0.125,0.1875
landmark60,c03_B,03,B,24,0.25,0.125,0.375,0.3125,0.375,-0.125,0.125
landmark60,c03_B,03,B,25,0.0625,0.0,0.0,0.0,0.0625,0.0,0.0625
landmark60,c03_B,03,B,26,0.0625,0.25,-0.25,0.0,-0.0625,0.125,-0.1875
landmark60,c03_B,03,B,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
landmark60,c03_B,03,B,28,0.375,0.0625,0.125,0.0625,0.125,0.25,0.3125
landmark60,c03_B,03,B,29,0.1875,0.0,-0.0625,-0.1875,0.0,0.1875,0.1875
landmark60,c03_B,03,B,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
landmark60,c03_B,03,B,31,0.0625,0.0,0.0,0.0,0.0625,0.0,0.0625
landmark60,c03_B,03,B,32,0.0,0.0625,-0.125,0.0625,-0.125,0.125,-0.0625
landmark60,c03_B,03,B,33,0.125,0.0,0.375,-0.0625,0.0625,0.0625,0.125
landmark60,c03_B,03,B,34,-0.1875,0.1875,-0.0625,0.0,-0.0625,-0.125,-0.375
landmark60,c03_B,03,B,35,0.0,0.0,0.0,0.0,0.0625,-0.0625,0.0
landmark60,c03_B,03,B,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
landmark60,c03_B,03,B,37,0.25,-0.125,-0.3125,0.0,-0.0625,0.3125,0.375
landmark60,c03_B,03,B,38,0.0,0.0,-0.125,0.1875,0.125,-0.125,0.0
