state_id,cohort,candidate,matrix_id,landmark,mass,previous_growth_steps,cumulative_growth_steps,q_all,q_half_A,q_half_B,prediction_beta_only,prediction_h10,prediction_h10_beta,prediction_h10_duplicate_corrected,prediction_h10_state,prediction_h10_state_beta,prediction_h10_state_beta_interaction,prediction_h8,prediction_ridge_h10,prediction_ridge_h10_duplicate,prediction_state_only,prediction_legacy_prior,prediction_legacy_h9,prediction_legacy_beta,prediction_legacy_full
MECHCONF-c02-m130-g035,MECHCONF,02,130,35,40,64,1685,0.671875,0.6875,0.65625,0.3962271262954916,0.6028146135453217,0.6007627779986505,0.6028146454711206,0.6475681633638051,0.6398322928367098,0.6694702613434045,0.5588438865874429,0.6018336571569456,0.6018234392991064,0.6501496427816956,0.34825,0.5588254163708553,0.40944819169836677,0.6442987199070257
MECHCONF-c02-m130-g050,MECHCONF,02,130,50,40,70,2396,0.640625,0.65625,0.625,0.3962271262954916,0.7281419378845811,0.7249970876992136,0.728141703996832,0.6237956333291252,0.620387376900461,0.5915063757550603,0.7028584258981235,0.7225209334715305,0.7224845849889887,0.49013606399726556,0.34825,0.6992542056880472,0.40944819169836677,0.6331636679024962
MECHCONF-c02-m130-g065,MECHCONF,02,130,65,40,41,3277,0.8125,0.84375,0.78125,0.3962271262954916,0.5624505310352025,0.5637573324680084,0.5624505525691655,0.575541050769873,0.5701942138712897,0.6162036031757068,0.5802744605238757,0.5608360751319016,0.5608484415955405,0.5229215782565668,0.34825,0.5790799695204779,0.40944819169836677,0.5787958944899223
MECHCONF-c02-m130-g080,MECHCONF,02,130,80,40,36,4100,0.4375,0.46875,0.40625,0.3962271262954916,0.391053120350067,0.3971097501490785,0.3910532554036108,0.45124140730995077,0.448928348886082,0.4034584028812732,0.39101509097314935,0.393701730646821,0.3937030167075144,0.3617520934310349,0.34825,0.3927094265230077,0.40944819169836677,0.3915557690613958
MECHCONF-c03-m130-g020,MECHCONF,03,130,20,41,52,777,0.59375,0.5625,0.625,0.4439124536522083,0.4158118891495306,0.4155602462489706,0.4158118791871604,0.4499612672470723,0.44046725013268195,0.49652002726244154,0.36362377037751215,0.41795561340218246,0.41795665881116034,0.4088995266053133,0.38684375,0.365485291564076,0.4571279148274813,0.47408401676661843
MECHCONF-c03-m130-g035,MECHCONF,03,130,35,42,36,1545,0.453125,0.46875,0.4375,0.4439124536522083,0.4199514696036266,0.42549473359635787,0.41995180575196217,0.3565774163672928,0.3575872282966871,0.24830003932447464,0.3766443689515835,0.42355551366348937,0.423664529991062,0.24015890801563808,0.38684375,0.38094815422642836,0.4571279148274813,0.2846751177425316
MECHCONF-c03-m130-g050,MECHCONF,03,130,50,44,41,2085,0.625,0.5625,0.6875,0.4439124536522083,0.6174826051638106,0.6196576492577928,0.6174826463871038,0.5924965838198336,0.5857146421327846,0.5810664333553649,0.6058527228500844,0.6151399517937334,0.6151990643210699,0.5308098992523632,0.38684375,0.6035202168907778,0.4571279148274813,0.5319847455922149
MECHCONF-c03-m130-g065,MECHCONF,03,130,65,39,43,2633,0.6875,0.71875,0.65625,0.4439124536522083,0.5919362543441612,0.5957409908310949,0.5919361755927354,0.5513091153094691,0.5480603349913802,0.5952000264296003,0.5652073709057056,0.5897982769653968,0.589783283259262,0.436983823656811,0.38684375,0.5629398143836721,0.4571279148274813,0.5183278401448632
MECHCONF-c03-m130-g080,MECHCONF,03,130,80,38,44,3164,0.734375,0.8125,0.65625,0.4439124536522083,0.6115393895280811,0.6109006439793485,0.6115393447120275,0.5696347123951911,0.5641770618523085,0.5473940636699419,0.5856927289864298,0.6118154305008352,0.611723102095965,0.4450061013929651,0.38684375,0.5859020386307511,0.4571279148274813,0.523186837593152
MECHCONF-c02-m131-g020,MECHCONF,02,131,20,40,55,866,0.703125,0.84375,0.5625,0.38201683028726247,0.2695026737117107,0.30860355069085815,0.26950275287670566,0.3486472911709888,0.37578897442480935,0.4912930116598905,0.21751887083699142,0.270147002682068,0.2702146879525751,0.4612439492378623,0.34825,0.21819846131042575,0.3693953087929174,0.4062287898523783
