source_cohort,candidate,half,metric,estimate,ci95_lower,ci95_upper,median,q05,q95,events,matrices
MECHCONF2,02,combined,persistence_5_right_censored,0.17324013979031452,0.16534342023175938,0.18167295255006483,0.0,0.0,1.0,22033,200
MECHCONF2,02,combined,later_break_observed,0.3235147279081378,0.2953545718883612,0.3489891722769751,0.0,0.0,1.0,22033,200
MECHCONF2,02,combined,second_renewal_after_later_break_observed,0.10207416148504515,0.09499523903828573,0.10896732625170122,0.0,0.0,1.0,22033,200
MECHCONF2,02,A,first_last_daughter_similarity,0.6930509039558714,0.6873730406521532,0.698752261158734,0.7204535481944319,0.3842646940851651,0.9040155646997421,10925,200
MECHCONF2,02,A,minimum_pairwise_daughter_similarity,0.6873163279567581,0.6816772419913714,0.692844310953499,0.7145128040852794,0.3809724571022984,0.8964647397908307,10925,200
MECHCONF2,02,A,mean_pairwise_daughter_similarity,0.783281520368265,0.7797689641424704,0.7869347919217633,0.7967939396464706,0.5944161671187986,0.9236653580227955,10925,200
MECHCONF2,02,A,maximum_anchor_similarity,0.6967612116465215,0.6875359975501408,0.7058987653578713,0.7323025089273316,0.3710076647253099,0.9086446721211987,10925,200
MECHCONF2,02,A,mean_anchor_similarity,0.6059450521171139,0.5956082664963486,0.6162644051672916,0.6277420764830214,0.2860190889884096,0.8489270254281605,10925,200
MECHCONF2,02,A,onset_parent_to_final_daughter_similarity,0.7110579164537904,0.7051118670998409,0.7167470364687545,0.7419251534923242,0.4006374474755804,0.9167494993169673,10925,200
MECHCONF2,02,A,observed_inherited_run_length,6.050068649885583,5.9426962523151,6.164441403443965,6.0,3.0,11.0,10925,200
MECHCONF2,02,A,persistence_5_resolved,0.7872670807453416,0.7678176097103087,0.8072780555621382,1.0,0.0,1.0,9016,200
MECHCONF2,02,A,persistence_5_right_censored,0.17473684210526316,0.16506607141644425,0.18475616134690226,0.0,0.0,1.0,10925,200
MECHCONF2,02,A,later_break_observed,0.3251258581235698,0.29755001252301505,0.35064232811411755,0.0,0.0,1.0,10925,200
MECHCONF2,02,A,second_renewal_after_later_break_observed,0.10389016018306636,0.09597106369444938,0.11182875747682136,0.0,0.0,1.0,10925,200
MECHCONF2,02,B,first_last_daughter_similarity,0.6951935787854335,0.6898230983649634,0.7005004406991899,0.7219963945462553,0.3900633291182141,0.9048552305630662,11108,200
MECHCONF2,02,B,minimum_pairwise_daughter_similarity,0.6894869023358524,0.6840095278490074,0.6948823881807439,0.7163267184282333,0.3880101874268659,0.8972879360167965,11108,200
MECHCONF2,02,B,mean_pairwise_daughter_similarity,0.7848564612347599,0.7814439486761678,0.7885490488626263,0.7979352208834529,0.598928959242287,0.9246124834836362,11108,200
MECHCONF2,02,B,maximum_anchor_similarity,0.6969377452039933,0.6872581357492185,0.7066177431295453,0.7341963235067519,0.3639349677317491,0.9090623535521749,11108,200
MECHCONF2,02,B,mean_anchor_similarity,0.6060623695347335,0.5961516690625357,0.616500952101843,0.6315944949124677,0.2811870224584166,0.8480695345932892,11108,200
MECHCONF2,02,B,onset_parent_to_final_daughter_similarity,0.713734670901784,0.708127372686506,0.7190765822534415,0.7435092838018815,0.4083705585497443,0.9171863864633245,11108,200
MECHCONF2,02,B,observed_inherited_run_length,6.070309686712279,5.96044179162474,6.185256976379868,6.0,3.0,11.0,11108,200
MECHCONF2,02,B,persistence_5_resolved,0.7908695652173913,0.7714144926753079,0.8115626738764155,1.0,0.0,1.0,9200,200
MECHCONF2,02,B,persistence_5_right_censored,0.17176809506661866,0.16228208160680568,0.1813832090234142,0.0,0.0,1.0,11108,200
MECHCONF2,02,B,later_break_observed,0.321930140439323,0.2928174293242662,0.3492383248032299,0.0,0.0,1.0,11108,200
MECHCONF2,02,B,second_renewal_after_later_break_observed,0.10028808066258553,0.09226143525956598,0.10820193121279476,0.0,0.0,1.0,11108,200
MECHCONF2,03,combined,first_last_daughter_similarity,0.7096144434411419,0.7045852151772317,0.7149343073147973,0.7388325299158266,0.39633410519384543,0.9174974476857876,24698,200
MECHCONF2,03,combined,minimum_pairwise_daughter_similarity,0.703982627071193,0.698557106160486,0.7093665802845792,0.7331261637907812,0.3941452926387306,0.9095595492943778,24698,200
MECHCONF2,03,combined,mean_pairwise_daughter_similarity,0.7962906307749951,0.7931521269873085,0.7995790471272052,0.8096054151957488,0.6099435389619795,0.9341609391341186,24698,200
MECHCONF2,03,combined,maximum_anchor_similarity,0.6936035847046694,0.6840221668132683,0.7033349497495331,0.7315785369888412,0.354443762545817,0.9111699976142255,24698,200
MECHCONF2,03,combined,mean_anchor_similarity,0.6062825879514885,0.5956359367479305,0.6172534812480606,0.6306245934027881,0.27429449593560484,0.8571644168645757,24698,200
MECHCONF2,03,combined,onset_parent_to_final_daughter_similarity,0.7259514867433863,0.7205136517386531,0.7314338098699948,0.7568649701189784,0.40888868240579473,0.9275299452613108,24698,200
MECHCONF2,03,combined,observed_inherited_run_length,6.000364401975869,5.90524130650787,6.101644771084161,6.0,3.0,11.0,24698,200
MECHCONF2,03,combined,persistence_5_resolved,0.7796055843014742,0.7614172884248618,0.7991944983860324,1.0,0.0,1.0,20486,200
MECHCONF2,03,combined,persistence_5_right_censored,0.17054012470645397,0.16260916117965726,0.17898272523171718,0.0,0.0,1.0,24698,200
MECHCONF2,03,combined,later_break_observed,0.3490566037735849,0.3223406236538642,0.37394481125167817,0.0,0.0,1.0,24698,200
MECHCONF2,03,combined,second_renewal_after_later_break_observed,0.10766053931492428,0.10073028527007687,0.1142802525151898,0.0,0.0,1.0,24698,200
MECHCONF2,03,A,first_last_daughter_similarity,0.7097402431163,0.7041108737189165,0.7153046827178907,0.7378007553068562,0.39378234914430904,0.9167336250056065,12420,200
MECHCONF2,03,A,minimum_pairwise_daughter_similarity,0.7041086896432636,0.6988081567360458,0.7100648694167441,0.7323880144576361,0.392435420367125,0.9094460014071859,12420,200
MECHCONF2,03,A,mean_pairwise_daughter_similarity,0.7965118588246621,0.7930593420884622,0.8001535154645453,0.8094802466185205,0.6100433485421694,0.9340036594690503,12420,200
MECHCONF2,03,A,maximum_anchor_similarity,0.6942142017007995,0.6844423299132126,0.7042219105021394,0.7322182263497303,0.3565868702330426,0.9086403051928517,12420,200
MECHCONF2,03,A,mean_anchor_similarity,0.6070593973892224,0.5960240638046354,0.6178465383021907,0.6317390194091531,0.2745874008117867,0.8575150799540285,12420,200
