source_cohort,candidate,half,coherence_threshold_strict,distinctness_max_anchor_threshold_inclusive,all_events,persistence_resolved_events,persistence_censored_events,coherent_rate,coherent_ci95_lower,coherent_ci95_upper,coherent_events,coherent_matrices,distinct_rate,distinct_ci95_lower,distinct_ci95_upper,distinct_events,distinct_matrices,coherent_and_distinct_rate,coherent_and_distinct_ci95_lower,coherent_and_distinct_ci95_upper,coherent_and_distinct_events,coherent_and_distinct_matrices,coherent_distinct_and_persistent_5_rate,coherent_distinct_and_persistent_5_ci95_lower,coherent_distinct_and_persistent_5_ci95_upper,coherent_distinct_and_persistent_5_events,coherent_distinct_and_persistent_5_matrices
scaled5,02,B,0.95,0.8,11789,9822,1967,0.008228009161082364,0.0057645470759973136,0.010992992773713264,11789,200,0.7056578166087031,0.684423649303704,0.7256503437981439,11789,200,0.006701162100262957,0.004415141576764294,0.009254536108949218,11789,200,0.006312360008144981,0.0041848238621411665,0.008931019078530783,9822,200
scaled5,02,B,0.975,0.9,11789,9822,1967,0.001526847060819408,0.0005095078828373242,0.002861141493629505,11789,200,0.9433370090762575,0.9344605250210682,0.951015916202806,11789,200,0.0014420222241072185,0.00047038234281754164,0.0027722639448552453,11789,200,0.0014253716147424149,0.0004175711085959263,0.0028065251974552516,9822,200
scaled5,02,B,0.975,0.85,11789,9822,1967,0.001526847060819408,0.0005245622901777608,0.002874109784886554,11789,200,0.8402748324709475,0.8243746881577471,0.8544174919707405,11789,200,0.0014420222241072185,0.0004814974752623682,0.0027549110844008293,11789,200,0.0014253716147424149,0.00041660294661081775,0.00284419489174872,9822,200
scaled5,02,B,0.975,0.8,11789,9822,1967,0.001526847060819408,0.0005015319637499975,0.002942259855678029,11789,200,0.7056578166087031,0.6842157946249198,0.725182782388231,11789,200,0.0014420222241072185,0.00044105324799619303,0.0027770038994125398,11789,200,0.0014253716147424149,0.000410820264638343,0.0028415219078210207,9822,200
scaled5,03,combined,0.9,0.9,26671,22419,4252,0.058303025758314274,0.05174681053383278,0.06559710011567058,26671,200,0.9407221326534438,0.9327917447728296,0.9475083642778173,26671,200,0.04847962206141502,0.04245900168310267,0.05524376772214039,26671,200,0.046255408358981225,0.04020737762749841,0.05296367202824557,22419,200
scaled5,03,combined,0.9,0.85,26671,22419,4252,0.058303025758314274,0.051629981298812105,0.0655595039854903,26671,200,0.835251771587117,0.82157560729846,0.8478270356117766,26671,200,0.04315548723332459,0.03759404189712602,0.04933225097378489,26671,200,0.04099201570096793,0.035295796051707795,0.04731658611752703,22419,200
scaled5,03,combined,0.9,0.8,26671,22419,4252,0.058303025758314274,0.05169591215586303,0.06571003805884808,26671,200,0.702560833864497,0.6847405002833905,0.719909097303814,26671,200,0.03756889505455364,0.032425420978714536,0.04314707507138506,26671,200,0.035550202952852494,0.03034829739013858,0.040971035354426484,22419,200
scaled5,03,combined,0.95,0.9,26671,22419,4252,0.010235836676540062,0.007983468200021868,0.012740994011674807,26671,200,0.9407221326534438,0.9330539290547892,0.9478301700421093,26671,200,0.008848562108657343,0.006773253996813699,0.011263975695773741,26671,200,0.008653374369954057,0.006496211736681169,0.011176534710202702,22419,200
scaled5,03,combined,0.95,0.85,26671,22419,4252,0.010235836676540062,0.007978141979365423,0.0127602903430435,26671,200,0.835251771587117,0.8213863892977915,0.8487245624099793,26671,200,0.00828615350005624,0.006221048417949575,0.010545498592214344,26671,200,0.008073509077122084,0.005998368594617339,0.010375199961425174,22419,200
scaled5,03,combined,0.95,0.8,26671,22419,4252,0.010235836676540062,0.008026942833139497,0.012686533406263174,26671,200,0.702560833864497,0.6842982891469167,0.719345380193719,26671,200,0.007461287540774624,0.00546205829720845,0.009756546446282235,26671,200,0.007270618671662429,0.0052751958072914384,0.00953682763614969,22419,200
scaled5,03,combined,0.975,0.9,26671,22419,4252,0.001837201454763601,0.001164704133755566,0.0026332219213524473,26671,200,0.9407221326534438,0.9327323764089148,0.9477423162404562,26671,200,0.0016497319185632335,0.0010046223633904598,0.0023891524137503567,26671,200,0.001784200901021455,0.0010739755463824983,0.002580690888176583,22419,200
scaled5,03,combined,0.975,0.85,26671,22419,4252,0.001837201454763601,0.0011677047820892533,0.0026153503941801445,26671,200,0.835251771587117,0.8205029318363226,0.8481751752240329,26671,200,0.0014997562896029396,0.00089474264786427,0.0021849019683895807,26671,200,0.0016057808109193096,0.0009674727382711904,0.00231964432094889,22419,200
scaled5,03,combined,0.975,0.8,26671,22419,4252,0.001837201454763601,0.00115647847849297,0.002534039699890083,26671,200,0.702560833864497,0.6842799231045632,0.7196091856719005,26671,200,0.0014247684751227925,0.0008221183982573176,0.002111600633037021,26671,200,0.0015165707658682367,0.0008719364246366388,0.0022068916043073397,22419,200
scaled5,03,A,0.9,0.9,13372,11268,2104,0.05720909362847742,0.05046830336326961,0.06465961344857923,13372,200,0.940397846245887,0.9317492347025581,0.947931557790048,13372,200,0.04808555189949147,0.04182698895374512,0.054980739251723004,13372,200,0.04561590344337948,0.03921552925770895,0.05255968665582931,11268,200
scaled5,03,A,0.9,0.85,13372,11268,2104,0.05720909362847742,0.05048229261883297,0.06451184251796518,13372,200,0.8319623093030213,0.8164878933634292,0.8461798437175031,13372,200,0.04255160035895902,0.03666962928115426,0.04892398967956374,13372,200,0.04055733049343273,0.03428200362341324,0.04732830090854204,11268,200
scaled5,03,A,0.9,0.8,13372,11268,2104,0.05720909362847742,0.0503729864131878,0.06448516186556626,13372,200,0.7004187855219862,0.6808999760979175,0.7181821665358636,13372,200,0.037541130720909366,0.03232878605752125,0.04364681768586311,13372,200,0.03576499822506212,0.03012795341181977,0.042181069388636944,11268,200
scaled5,03,A,0.95,0.9,13372,11268,2104,0.010020939276099311,0.007519085969856011,0.012661395188542405,13372,200,0.940397846245887,0.9320735633854144,0.9478884477118082,13372,200,0.00874962608435537,0.0064641904511072625,0.011182830063552418,13372,200,0.008874689385871494,0.006622362591569066,0.011450773746503141,11268,200
scaled5,03,A,0.95,0.85,13372,11268,2104,0.010020939276099311,0.007599091822710511,0.012639926508137292,13372,200,0.8319623093030213,0.8165453058869645,0.8462078900765879,13372,200,0.00822614418187257,0.005994919290786837,0.010800985981580965,13372,200,0.00843095491657792,0.006106592357348322,0.011010456187026067,11268,200
