state_id,candidate,matrix_id,landmark,mass,occupied_types,previous_growth_steps,cumulative_growth_steps,prediction_MODEL_UP,q_all_MODEL_UP,q_half_A_MODEL_UP,q_half_B_MODEL_UP,prediction_MODEL_DOWN,q_all_MODEL_DOWN,q_half_A_MODEL_DOWN,q_half_B_MODEL_DOWN,prediction_RANDOM,q_all_RANDOM,q_half_A_RANDOM,q_half_B_RANDOM,prediction_NOOP,q_all_NOOP,q_half_A_NOOP,q_half_B_NOOP
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m120-g050,03,120,50,50,12,16,1096,0.08784051573231584,0.015625,0.03125,0.0,0.06236236933588809,0.015625,0.0,0.03125,0.07377772788522614,0.03125,0.0,0.0625,0.07288152431051269,0.0625,0.03125,0.09375
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m120-g065,03,120,65,41,11,24,1379,0.08000959345490077,0.03125,0.0,0.0625,0.0481104143608265,0.0,0.0,0.0,0.07606212426399504,0.0,0.0,0.0,0.06711614381529567,0.03125,0.03125,0.03125
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m120-g080,03,120,80,37,13,19,1633,0.12163934859511294,0.03125,0.0,0.0625,0.08529511900534249,0.046875,0.0625,0.03125,0.10303594828374138,0.015625,0.0,0.03125,0.10201770926981421,0.015625,0.0,0.03125
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m121-g020,02,121,20,40,23,59,1067,0.5977960760574477,0.75,0.6875,0.8125,0.4842423767596494,0.6875,0.59375,0.78125,0.5404347207903529,0.65625,0.6875,0.625,0.5413970782222176,0.671875,0.625,0.71875
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m121-g035,02,121,35,40,25,58,1867,0.6971389876899533,0.78125,0.84375,0.71875,0.5945677437649836,0.484375,0.46875,0.5,0.6718665377155606,0.734375,0.6875,0.78125,0.6760982343137039,0.625,0.59375,0.65625
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m121-g050,02,121,50,40,27,54,2648,0.6291806080375913,0.796875,0.6875,0.90625,0.5443572174482987,0.625,0.6875,0.5625,0.5795165675972987,0.765625,0.84375,0.6875,0.5859283055090563,0.703125,0.71875,0.6875
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m121-g065,02,121,65,40,18,47,3444,0.49920921565189735,0.46875,0.46875,0.46875,0.3430530639604162,0.375,0.28125,0.46875,0.4024716563679145,0.375,0.34375,0.40625,0.4008621538953119,0.4375,0.5625,0.3125
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m121-g080,02,121,80,40,23,77,4367,0.6859900301434985,0.71875,0.71875,0.71875,0.5645924033310422,0.609375,0.59375,0.625,0.6577053046179694,0.671875,0.78125,0.5625,0.632587724610714,0.734375,0.78125,0.6875
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m121-g020,03,121,20,47,27,23,849,0.6092232312969121,0.609375,0.75,0.46875,0.5289590013412767,0.53125,0.5,0.5625,0.5644843554933848,0.671875,0.6875,0.65625,0.5661679925132966,0.5625,0.5,0.625
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m121-g035,03,121,35,40,25,30,1595,0.6427358773958155,0.6875,0.6875,0.6875,0.5436436322955165,0.703125,0.625,0.78125,0.5861019701088258,0.625,0.59375,0.65625,0.5852033394037051,0.671875,0.75,0.59375
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m121-g050,03,121,50,42,28,24,2355,0.6652840374165532,0.734375,0.6875,0.78125,0.5890481731502588,0.515625,0.53125,0.5,0.6524267558023527,0.71875,0.65625,0.78125,0.6259755689171855,0.640625,0.71875,0.5625
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m121-g065,03,121,65,39,22,24,3050,0.6815634908581442,0.796875,0.84375,0.75,0.5258725661100239,0.640625,0.71875,0.5625,0.6484398732523334,0.796875,0.8125,0.78125,0.6400361534947927,0.6875,0.65625,0.71875
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m121-g080,03,121,80,40,18,68,3920,0.6323814012734934,0.625,0.625,0.625,0.5272203229870702,0.65625,0.71875,0.59375,0.5979447339972094,0.59375,0.59375,0.59375,0.5919364339396096,0.640625,0.75,0.53125
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m122-g020,02,122,20,40,11,28,594,0.15347507428548998,0.375,0.3125,0.4375,0.07931947493278287,0.34375,0.40625,0.28125,0.12576685349253566,0.375,0.25,0.5,0.1157051206924812,0.265625,0.34375,0.1875
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m122-g035,02,122,35,40,22,64,1242,0.48104589877946685,0.59375,0.625,0.5625,0.24494388014958965,0.375,0.3125,0.4375,0.4153582101585952,0.6875,0.6875,0.6875,0.40694365974918845,0.65625,0.65625,0.65625
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m122-g050,02,122,50,40,22,88,2088,0.6352196512580098,0.46875,0.46875,0.46875,0.449549333871773,0.34375,0.375,0.3125,0.6115098299644289,0.484375,0.375,0.59375,0.6014391086122355,0.59375,0.71875,0.46875
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m122-g065,02,122,65,40,21,33,2868,0.5867537831111868,0.546875,0.53125,0.5625,0.27209434201065535,0.34375,0.40625,0.28125,0.43568279259236214,0.375,0.375,0.375,0.4250943626207252,0.234375,0.3125,0.15625
