ambiguous_boundaries,completed_boundaries,model,occupancy_exceeded,parameter_key,passed,seed_index,total_updates
0,20,protocell,False,"py=1e-01,ay=1e-06",True,7,1728
0,20,protocell,False,"py=1e-01,ay=1e-06",True,8,1716
0,20,protocell,False,"py=1e-01,ay=1e-06",True,9,1516
0,20,protocell,False,"py=1e-01,ay=1e-06",True,10,1692
0,20,protocell,False,"py=1e-01,ay=1e-06",True,11,1532
0,20,protocell,False,"py=1e-01,ay=1e-06",True,12,1632
0,20,protocell,False,"py=1e-01,ay=1e-06",True,13,1840
0,20,protocell,False,"py=1e-01,ay=1e-06",True,14,1852
0,20,protocell,False,"py=1e-01,ay=1e-06",True,15,1816
0,0,protocell,False,"py=1e-02,ay=1e-02",False,0,80
0,0,protocell,False,"py=1e-02,ay=1e-02",False,1,112
0,0,protocell,False,"py=1e-02,ay=1e-02",False,2,332
0,0,protocell,False,"py=1e-02,ay=1e-02",False,3,52
0,0,protocell,False,"py=1e-02,ay=1e-02",False,4,244
0,0,protocell,False,"py=1e-02,ay=1e-02",False,5,72
0,0,protocell,False,"py=1e-02,ay=1e-02",False,6,468
0,0,protocell,False,"py=1e-02,ay=1e-02",False,7,28
0,0,protocell,False,"py=1e-02,ay=1e-02",False,8,96
0,0,protocell,False,"py=1e-02,ay=1e-02",False,9,88
0,0,protocell,False,"py=1e-02,ay=1e-02",False,10,76
0,0,protocell,False,"py=1e-02,ay=1e-02",False,11,32
0,0,protocell,False,"py=1e-02,ay=1e-02",False,12,160
0,0,protocell,False,"py=1e-02,ay=1e-02",False,13,300
0,0,protocell,False,"py=1e-02,ay=1e-02",False,14,24
0,0,protocell,False,"py=1e-02,ay=1e-02",False,15,76
0,0,protocell,False,"py=1e-02,ay=1e-03",False,0,288
0,0,protocell,False,"py=1e-02,ay=1e-03",False,1,68
0,0,protocell,False,"py=1e-02,ay=1e-03",False,2,1168
0,5,protocell,False,"py=1e-02,ay=1e-03",False,3,4840
0,0,protocell,False,"py=1e-02,ay=1e-03",False,4,340
0,2,protocell,False,"py=1e-02,ay=1e-03",False,5,2820
0,0,protocell,False,"py=1e-02,ay=1e-03",False,6,1436
0,0,protocell,False,"py=1e-02,ay=1e-03",False,7,328
0,4,protocell,False,"py=1e-02,ay=1e-03",False,8,3324
0,4,protocell,False,"py=1e-02,ay=1e-03",False,9,3232
0,0,protocell,False,"py=1e-02,ay=1e-03",False,10,280
0,0,protocell,False,"py=1e-02,ay=1e-03",False,11,1768
0,0,protocell,False,"py=1e-02,ay=1e-03",False,12,24
0,5,protocell,False,"py=1e-02,ay=1e-03",False,13,4316
0,6,protocell,False,"py=1e-02,ay=1e-03",False,14,4036
0,5,protocell,False,"py=1e-02,ay=1e-03",False,15,4812
0,20,protocell,False,"py=1e-02,ay=1e-04",True,0,9188
0,20,protocell,False,"py=1e-02,ay=1e-04",True,1,11796
0,20,protocell,False,"py=1e-02,ay=1e-04",True,2,13344
0,20,protocell,False,"py=1e-02,ay=1e-04",True,3,13408
0,0,protocell,False,"py=1e-02,ay=1e-04",False,4,240
0,20,protocell,False,"py=1e-02,ay=1e-04",True,5,12108
0,20,protocell,False,"py=1e-02,ay=1e-04",True,6,13580
0,20,protocell,False,"py=1e-02,ay=1e-04",True,7,13168
0,20,protocell,False,"py=1e-02,ay=1e-04",True,8,11232
0,20,protocell,False,"py=1e-02,ay=1e-04",True,9,9236
0,20,protocell,False,"py=1e-02,ay=1e-04",True,10,11040
0,20,protocell,False,"py=1e-02,ay=1e-04",True,11,13024
0,17,protocell,False,"py=1e-02,ay=1e-04",False,12,12404
0,20,protocell,False,"py=1e-02,ay=1e-04",True,13,9032
0,20,protocell,False,"py=1e-02,ay=1e-04",True,14,12624
0,20,protocell,False,"py=1e-02,ay=1e-04",True,15,12168
0,20,protocell,False,"py=1e-02,ay=1e-05",True,0,11948
0,20,protocell,False,"py=1e-02,ay=1e-05",True,1,10140
0,0,protocell,False,"py=1e-02,ay=1e-05",False,2,1000
0,20,protocell,False,"py=1e-02,ay=1e-05",True,3,13860
0,20,protocell,False,"py=1e-02,ay=1e-05",True,4,12600
0,20,protocell,False,"py=1e-02,ay=1e-05",True,5,19516
0,20,protocell,False,"py=1e-02,ay=1e-05",True,6,13656
0,20,protocell,False,"py=1e-02,ay=1e-05",True,7,10596
0,20,protocell,False,"py=1e-02,ay=1e-05",True,8,14560
0,20,protocell,False,"py=1e-02,ay=1e-05",True,9,10932
0,20,protocell,False,"py=1e-02,ay=1e-05",True,10,8720
0,20,protocell,False,"py=1e-02,ay=1e-05",True,11,10884
0,20,protocell,False,"py=1e-02,ay=1e-05",True,12,13692
0,20,protocell,False,"py=1e-02,ay=1e-05",True,13,9124
0,20,protocell,False,"py=1e-02,ay=1e-05",True,14,8912
0,20,protocell,False,"py=1e-02,ay=1e-05",True,15,11820
0,20,protocell,False,"py=1e-02,ay=1e-06",True,0,10088
0,20,protocell,False,"py=1e-02,ay=1e-06",True,1,10236
0,20,protocell,False,"py=1e-02,ay=1e-06",True,2,14296
0,20,protocell,False,"py=1e-02,ay=1e-06",True,3,13268
0,20,protocell,False,"py=1e-02,ay=1e-06",True,4,11936
0,20,protocell,False,"py=1e-02,ay=1e-06",True,5,11876
0,20,protocell,False,"py=1e-02,ay=1e-06",True,6,12544
0,20,protocell,False,"py=1e-02,ay=1e-06",True,7,13024
