candidate,matrix_id,setting_id,arm,n_futures,horizon,terminal8_f16,terminal8_f32,terminal8_f64,capture_any_f16,capture_any_f32,capture_any_f64,arrival_f16,occupancy,maximum_residence,departed,reentered,extinction,final_target_h,carrier_target_h
03,45,k008_l08_u2p0_ideal,native_renewal_off,48,64,0.020833333333333332,0.0,0.0,0.041666666666666664,0.125,0.16666666666666666,1.0,0.7255925933519766,7.1875,1.0,0.16666666666666666,0.0,0.6642862549280079,0.9999999999999999
03,45,k008_l08_u2p0_ideal,native_erase_after_g2,48,64,0.0,0.0,0.0,0.020833333333333332,0.041666666666666664,0.041666666666666664,1.0,0.7320476220195266,5.666666666666667,1.0,0.041666666666666664,0.0,0.7009330657486054,0.0
03,45,k008_l08_u2p0_ideal,native_erase_rescue_g3,48,64,0.0,0.0,0.020833333333333332,0.10416666666666667,0.22916666666666666,0.25,1.0,0.5913266860762451,6.833333333333333,1.0,0.14583333333333334,0.0,0.4902075816820268,0.5635630469340254
03,45,k008_l08_u2p0_ideal,native_no_carrier,48,64,0.0,0.0,0.0,0.0,0.020833333333333332,0.0625,1.0,0.7188304072167342,5.666666666666667,1.0,0.0625,0.0,0.7087085012443133,0.0
03,45,k008_l08_u2p0_ideal,native_random_mask,48,64,0.0,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.5063531570617205,2.5208333333333335,1.0,0.0,0.0,0.43059420134209897,0.4636252135036565
03,45,k008_l08_u2p0_ideal,joint_relabel_correct,48,64,0.08333333333333333,0.0,0.0,0.14583333333333334,0.16666666666666666,0.20833333333333334,1.0,0.5732024677825985,6.666666666666667,1.0,0.14583333333333334,0.0,0.4423905468525559,0.5415815392974653
03,28,k008_l08_u2p0_ideal,native_correct,48,64,0.041666666666666664,0.041666666666666664,0.020833333333333332,0.16666666666666666,0.375,0.4791666666666667,1.0,0.7398937469341417,9.604166666666666,1.0,0.375,0.0,0.7061010130896869,0.9104071186866717
03,28,k008_l08_u2p0_ideal,stranger_correct,48,64,0.0,0.041666666666666664,0.020833333333333332,0.0,0.22916666666666666,0.375,0.875,0.6993334296212416,7.729166666666667,1.0,0.375,0.0,0.7180515771021369,0.9131650892705988
03,28,k008_l08_u2p0_ideal,stranger_zero,48,64,0.0,0.0,0.0,0.0,0.020833333333333332,0.020833333333333332,0.5833333333333334,0.5917765649787509,3.8958333333333335,1.0,0.020833333333333332,0.0,0.6036987183212373,0.0
03,28,k008_l08_u2p0_ideal,stranger_shuffled,48,64,0.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.8125,0.6376778944301139,5.208333333333333,1.0,0.041666666666666664,0.0,0.6190412456278236,0.07127997622476741
03,28,k008_l08_u2p0_ideal,native_zero,48,64,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,1.0,0.6714122937053554,4.625,1.0,0.020833333333333332,0.0,0.6139945004380619,0.0
03,28,k008_l08_u2p0_ideal,native_shuffled,48,64,0.0,0.0,0.0,0.08333333333333333,0.10416666666666667,0.14583333333333334,0.9791666666666666,0.7080725359345984,7.0,1.0,0.0625,0.0,0.6104733928986991,0.07127997622476741
03,28,k008_l08_u2p0_ideal,native_reader_off,48,64,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,1.0,0.6714122937053554,4.625,1.0,0.020833333333333332,0.0,0.6139945004380619,0.9086750744325701
03,28,k008_l08_u2p0_ideal,native_founder_writer_off,48,64,0.0,0.0,0.020833333333333332,0.1875,0.2916666666666667,0.4791666666666667,1.0,0.7381373637541024,8.395833333333334,1.0,0.4166666666666667,0.0,0.6991462889424197,0.9104359642858366
03,28,k008_l08_u2p0_ideal,native_renewal_off,48,64,0.020833333333333332,0.0,0.020833333333333332,0.20833333333333334,0.25,0.25,1.0,0.6755439231331929,7.541666666666667,1.0,0.0625,0.0,0.6184700299873781,1.0
03,28,k008_l08_u2p0_ideal,native_erase_after_g2,48,64,0.0,0.0,0.0,0.020833333333333332,0.020833333333333332,0.041666666666666664,1.0,0.6475754037930095,5.104166666666667,1.0,0.041666666666666664,0.0,0.554423159596551,0.0
03,28,k008_l08_u2p0_ideal,native_erase_rescue_g3,48,64,0.041666666666666664,0.0625,0.041666666666666664,0.16666666666666666,0.3541666666666667,0.4375,1.0,0.7421262910386189,9.875,1.0,0.3541666666666667,0.0,0.6810729728384696,0.9027957176400999
03,28,k008_l08_u2p0_ideal,native_no_carrier,48,64,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,1.0,0.6714122937053554,4.625,1.0,0.020833333333333332,0.0,0.6139945004380619,0.0
03,28,k008_l08_u2p0_ideal,native_random_mask,48,64,0.0,0.0,0.0,0.0,0.020833333333333332,0.041666666666666664,1.0,0.6462941829599309,4.645833333333333,1.0,0.041666666666666664,0.0,0.6113720713440413,0.572425104515703
03,28,k008_l08_u2p0_ideal,joint_relabel_correct,48,64,0.0625,0.0625,0.041666666666666664,0.20833333333333334,0.4166666666666667,0.5416666666666666,1.0,0.7549978516609248,8.875,1.0,0.4166666666666667,0.0,0.7353537573575221,0.9119111930342386
03,159,k008_l08_u2p0_ideal,native_correct,48,64,0.020833333333333332,0.0,0.0625,0.041666666666666664,0.0625,0.22916666666666666,0.9166666666666666,0.5378978959433103,6.75,1.0,0.1875,0.0,0.4156575187586811,0.9022314354948461
03,159,k008_l08_u2p0_ideal,stranger_correct,48,64,0.0,0.0,0.020833333333333332,0.041666666666666664,0.10416666666666667,0.14583333333333334,0.8333333333333334,0.5151527829004743,6.0625,1.0,0.14583333333333334,0.0,0.4821190755987623,0.8647998463333414
03,159,k008_l08_u2p0_ideal,stranger_zero,48,64,0.0,0.0,0.0,0.0,0.020833333333333332,0.041666666666666664,0.6666666666666666,0.3869884089298827,3.875,1.0,0.041666666666666664,0.0,0.3624584167352391,0.0
03,159,k008_l08_u2p0_ideal,stranger_shuffled,48,64,0.0,0.020833333333333332,0.0,0.0625,0.10416666666666667,0.14583333333333334,0.9375,0.4680221437234236,5.979166666666667,1.0,0.14583333333333334,0.0,0.37337189392195586,-0.03287853205007741
03,159,k008_l08_u2p0_ideal,native_zero,48,64,0.0,0.020833333333333332,0.0,0.041666666666666664,0.10416666666666667,0.125,0.75,0.4124258055482744,5.3125,1.0,0.125,0.0,0.40339463779698925,0.0
03,159,k008_l08_u2p0_ideal,native_shuffled,48,64,0.0,0.020833333333333332,0.0,0.0625,0.08333333333333333,0.14583333333333334,0.9375,0.4830195135663369,5.875,1.0,0.125,0.0,0.40939306243022927,-0.03287853205007741
03,159,k008_l08_u2p0_ideal,native_reader_off,48,64,0.0,0.020833333333333332,0.0,0.041666666666666664,0.10416666666666667,0.125,0.75,0.4124258055482744,5.3125,1.0,0.125,0.0,0.40339463779698925,0.8348354558238088
03,159,k008_l08_u2p0_ideal,native_founder_writer_off,48,64,0.0,0.0,0.0,0.0,0.08333333333333333,0.14583333333333334,0.75,0.43747812123435653,6.125,1.0,0.14583333333333334,0.0,0.4521439882205763,0.849084832094765
03,159,k008_l08_u2p0_ideal,native_renewal_off,48,64,0.0,0.0,0.0,0.020833333333333332,0.041666666666666664,0.08333333333333333,0.875,0.42022775308458665,4.770833333333333,1.0,0.0625,0.0,0.39057486584286005,1.0
03,159,k008_l08_u2p0_ideal,native_erase_after_g2,48,64,0.020833333333333332,0.0,0.020833333333333332,0.020833333333333332,0.041666666666666664,0.16666666666666666,0.8333333333333334,0.4098548672500059,5.166666666666667,1.0,0.16666666666666666,0.0,0.42043110501996167,0.0
03,159,k008_l08_u2p0_ideal,native_erase_rescue_g3,48,64,0.020833333333333332,0.0,0.041666666666666664,0.041666666666666664,0.10416666666666667,0.22916666666666666,0.8958333333333334,0.5321531730110496,6.541666666666667,1.0,0.1875,0.0,0.5283359425303624,0.9073701122154118
03,159,k008_l08_u2p0_ideal,native_no_carrier,48,64,0.0,0.020833333333333332,0.0,0.041666666666666664,0.10416666666666667,0.125,0.75,0.4124258055482744,5.3125,1.0,0.125,0.0,0.40339463779698925,0.0
03,159,k008_l08_u2p0_ideal,native_random_mask,48,64,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.7916666666666666,0.36608679745793077,3.75,1.0,0.020833333333333332,0.0,0.36399505789211767,-0.10798689651688442
03,159,k008_l08_u2p0_ideal,joint_relabel_correct,48,64,0.0,0.0,0.041666666666666664,0.0,0.10416666666666667,0.16666666666666666,0.8958333333333334,0.5065072033567546,5.541666666666667,1.0,0.16666666666666666,0.0,0.4854285519456209,0.8885697173497221
03,149,k008_l08_u2p0_ideal,native_correct,48,64,0.0,0.020833333333333332,0.0,0.10416666666666667,0.22916666666666666,0.3125,1.0,0.37495328326916494,6.270833333333333,1.0,0.25,0.0,0.21052930558435914,0.3610558711129192
03,149,k008_l08_u2p0_ideal,stranger_correct,48,64,0.041666666666666664,0.020833333333333332,0.020833333333333332,0.10416666666666667,0.22916666666666666,0.2708333333333333,0.7916666666666666,0.3386134378966765,5.729166666666667,1.0,0.2708333333333333,0.0,0.2864485908478121,0.3460270530383112
03,149,k008_l08_u2p0_ideal,stranger_zero,48,64,0.0,0.0,0.041666666666666664,0.0,0.0,0.10416666666666667,0.5625,0.395789323016734,4.5,1.0,0.10416666666666667,0.0,0.40485307875883464,0.0
03,149,k008_l08_u2p0_ideal,stranger_shuffled,48,64,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.14583333333333334,0.9166666666666666,0.4451437663679567,5.0,1.0,0.14583333333333334,0.0,0.463716020968197,-0.028936104278437392
03,149,k008_l08_u2p0_ideal,native_zero,48,64,0.0,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0625,1.0,0.4272273144045717,4.3125,1.0,0.0625,0.0,0.3875229911898437,0.0
03,149,k008_l08_u2p0_ideal,native_shuffled,48,64,0.041666666666666664,0.0,0.0,0.08333333333333333,0.14583333333333334,0.20833333333333334,1.0,0.5006158532864731,6.708333333333333,1.0,0.16666666666666666,0.0,0.3720481752376054,-0.028936104278437392
03,149,k008_l08_u2p0_ideal,native_reader_off,48,64,0.0,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0625,1.0,0.4272273144045717,4.3125,1.0,0.0625,0.0,0.3875229911898437,0.5994646284876978
03,149,k008_l08_u2p0_ideal,native_founder_writer_off,48,64,0.020833333333333332,0.020833333333333332,0.0,0.08333333333333333,0.1875,0.2916666666666667,0.9791666666666666,0.37887814379728274,5.9375,1.0,0.25,0.0,0.2502304961461048,0.3176227342957694
03,149,k008_l08_u2p0_ideal,native_renewal_off,48,64,0.020833333333333332,0.020833333333333332,0.0,0.10416666666666667,0.14583333333333334,0.16666666666666666,1.0,0.4788375834630008,5.708333333333333,1.0,0.125,0.0,0.5310803531664107,1.0
03,149,k008_l08_u2p0_ideal,native_erase_after_g2,48,64,0.0,0.0,0.0,0.0625,0.08333333333333333,0.16666666666666666,1.0,0.4586827467468985,5.333333333333333,1.0,0.125,0.0,0.4283748610935197,0.0
03,149,k008_l08_u2p0_ideal,native_erase_rescue_g3,48,64,0.0,0.020833333333333332,0.0,0.125,0.2708333333333333,0.3333333333333333,1.0,0.38656334248609214,6.229166666666667,1.0,0.2708333333333333,0.0,0.23173887880482658,0.33117318160421466
03,149,k008_l08_u2p0_ideal,native_no_carrier,48,64,0.0,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0625,1.0,0.4272273144045717,4.3125,1.0,0.0625,0.0,0.3875229911898437,0.0
